,along_strike_km,depth_m,f_trace_dist,z_trace_dist,q_trace_dist,f_dip_slip,z_dip_slip,qa_dip_slip,qb_dip_slip,f_strike_slip,z_strike_slip,qa_strike_slip,qb_strike_slip,trace_dist_mean,trace_dist_median,trace_dist_std,trace_dist_st_mad,dip_slip_mean,dip_slip_std,dip_slip_median,dip_slip_st_mad,strike_slip_mean,strike_slip_std,strike_slip_median,strike_slip_st_mad,utm_lon_mean,utm_lat_mean,utm_lon_median,utm_lat_median,topo_easting_med,topo_easting_mean,topo_northing_med,topo_northing_mean,dip_slip_min,dip_slip_max,strike_slip_min,strike_slip_max,med_strike,med_dip,depth_km_bsl,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,sig_nn_med,tau_dd_med,tau_ss_med,tau_cs_med,slip_mag_med,slip_mag_mean
1286,216.0,-2000.0,0.3180116243940269,-1.4953181078034865,-2.3311874454306656,3.3323514396605787,2.1145636575157165,1.1276550030218853,2.6873395531070905,1.6918422531934552,4.116825078878587,2.067814087887206,1.7268202268678647,-1.1694979762800417,-1.4953181078034865,1.1057977501844451,1.2392617343468637,2.619924358862533,0.9009047299388742,3.0098454963838357,0.4781480269833426,1.7996697656289715,0.1583969245881182,1.70933124003066,0.02592921068425509,473283.85666093393,3551873.4747068873,473053.9367438714,3552104.333083048,1119700.343155847,1119930.2630729096,534969.9017161084,534739.0433399472,1.1276550030218853,2.619924358862533,1.1276550030218853,2.067814087887206,215.2525623998349,68.26853062501331,2.0,18.352264767787233,34.78655851890426,33.209211460733485,1.2309732661721682,1.00620691963065,-3.2297449628348014,25.9595741598582,-5.575428612935905,-7.575449553920922,-6.169744274676079,3.461355688201779,3.178492553315218
1287,220.0,-2000.0,0.20787376703015306,-1.6891074637245689,-2.493431244402076,3.2094872678420465,1.4706576096698272,1.1482923348879654,4.0436216785115375,1.750645913825586,4.132688607556826,5.398496590164979,1.4558494278228031,-1.3248883136988303,-1.6891074637245689,1.1324763082529428,1.1924922216292848,2.9027221372708985,1.0686305939567216,3.2094872678420465,0.6183447638952247,2.1733014602626683,1.6265743469171547,1.750645913825586,0.2185329620776908,476008.38496740564,3554806.236487905,475751.3682005933,3555064.302314435,1122397.7746125688,1122654.7913793812,537929.8709474951,537671.805120965,1.1482923348879654,2.9027221372708985,1.1482923348879654,5.398496590164979,241.78549242792027,70.09913627786179,2.0,18.103453727597014,33.06070904986126,32.98930239078908,0.826382478320766,2.5556078883237356,-1.3906116724295128,31.045698614150627,-3.137217030939082,-5.746007001114949,-12.0807614596991,3.655895189694916,3.626159820441231
1288,224.0,-2000.0,0.09605091382303316,-1.907223581379346,-2.6660268598509997,3.1978053983203085,1.4179062423174056,2.4868136201004,5.022787743649459,2.6559043784013707,3.9634056046930564,4.8728506226599855,2.177611168550074,-1.4923998424691038,-1.907223581379346,1.1651401797576777,1.1250034240713966,3.4763030400976187,0.9388591645658704,3.1978053983203085,0.5270589938640395,3.20535253013815,1.0473641261529811,2.6559043784013707,0.3545592870108489,478724.3597713753,3557747.5866840687,478431.6331089682,3558041.508162494,1125078.0395209438,1125370.7661833507,540907.0767955538,540613.1553171291,2.4868136201004,3.4763030400976187,2.4868136201004,4.8728506226599855,216.46602113180447,68.54898129528053,2.0,19.328062676676318,33.44554804742934,30.14149610633168,0.8924302819060865,2.554468909945918,-0.8397730251953911,26.093481239764937,-4.144003061552983,-5.728399049445324,-8.58591780930253,4.1568963702187816,4.728527008388022
1289,228.0,-2000.0,-0.017411945718425886,-2.0699141052779493,-2.795624232583012,3.5828988951313097,2.0690240540325338,4.751577411057698,5.09944084723826,2.735102179931144,3.3142009290958683,3.4219731596268765,3.1139024406707336,-1.6276500945264625,-2.0699141052779493,1.176524250812772,1.075939444734469,4.2542040121396445,0.6824783376785615,4.1672381530945035,0.8663426802161491,3.8303056545395613,0.2878226807045514,2.9245023103009387,0.28080505347150825,481463.1002345182,3560666.0782989664,481151.0099281388,3560979.4424575265,1127797.4163401143,1128109.5066464941,543845.011090586,543531.6469320259,3.5828988951313097,4.2542040121396445,2.735102179931144,3.4219731596268765,222.4795741622524,69.65721183109993,2.0,20.45116511977889,34.71577713543772,29.082278777430847,0.7152214212211765,1.4629999124021535,-1.025221280717393,27.742052868020522,-2.268251675417024,-6.522060573022194,-9.739998938262348,5.091030110651676,5.724464445177626
1290,232.0,-2000.0,-0.13250562462103038,-2.4003967222100826,-2.9350821300024053,3.653249854468267,2.3507274057660794,4.223399784919182,5.8320090879735575,2.6034637891360943,2.2871607075865725,3.3368895401155494,4.228790508110723,-1.8226614922778392,-2.4003967222100826,1.2148915628037391,0.79272577179547,4.340477145457318,0.8920394249775542,3.9383248196937246,0.4226527758836701,3.8155841127912318,0.6687062082828285,2.970176664625822,0.5436893227556393,484159.6693388896,3563626.913402548,483751.9817121949,3564036.265078916,1130398.3881241705,1130806.075750865,546901.8337119754,546492.4820356079,3.653249854468267,4.340477145457318,2.6034637891360943,4.228790508110723,224.82272109182773,67.16686078721072,2.0,21.15061690969975,35.75095071248566,30.40447144841326,1.0606725584177563,-0.8728086170844166,-1.7900391772213191,28.265412043294972,-1.5433848745357324,-7.453378454358651,-9.347750181712733,4.93278337295521,5.779136957368475
1291,236.0,-2000.0,-0.2493940190563922,-2.2043209414164915,-2.835777564578561,2.659069575960919,1.8278748279636816,6.181156489594677,6.518678606888306,2.850541251192628,2.156631370986667,4.575340349487512,4.439343214149597,-1.7631641750171485,-2.2043209414164915,1.1010024010091592,0.9361989903901394,4.504493562101205,1.849278193263442,4.420113032777798,2.610926935961479,4.60022939971706,0.8297944939399767,3.644942232671112,1.1777806575230283,487035.83637778286,3566407.417510645,486724.5274151726,3566719.9971362418,1133370.9338271485,1133682.2427897586,549585.5657693017,549272.986143705,2.659069575960919,4.504493562101205,2.850541251192628,4.575340349487512,230.9703284451552,71.88141853645206,2.0,21.524711879686045,36.649302378934465,32.5571174113001,0.5504048496988434,-2.1231092102270503,-1.2961418715368342,30.15436737591325,-0.45610100133150056,-7.906760995355048,-10.172715277057623,5.729136331249381,6.438367244964548
1292,240.0,-2000.0,-0.367510384952177,-1.4366120393692123,-2.41823202235528,1.7064450045279194,1.5088994245166965,3.078832042116922,6.7749176048810495,3.2580500593865285,3.091994627382665,6.136702871060711,2.8270299404926336,-1.4074514822255564,-1.4366120393692123,0.8374574863231414,1.4553519645045752,3.316659914013453,2.0737461550630254,2.3926385233224208,1.0173520332888937,4.092462441442756,1.3204822891049377,3.2580500593865285,0.3195156922463188,490121.0322886993,3568978.039558142,490100.45469931397,3568998.7011386235,1136746.8611112896,1136767.438700675,551864.269771684,551843.6081912019,1.7064450045279194,3.316659914013453,3.078832042116922,6.136702871060711,218.47031557633375,76.89309954348263,2.0,20.611578079134066,37.568812231299574,39.486946581538724,0.14388686561914515,-3.1217358600798915,-1.1962310326093715,26.92367655642652,-1.2252433236394351,-8.665279643705487,-7.402732200493075,4.042228258368775,5.2676827751719575
1293,244.0,-2000.0,-0.488999537834906,-1.1995191516280863,-1.999616456788648,1.1942560021507556,1.3871891693365617,0.01019747908932297,7.51209965706532,3.659060266645541,3.8694298654711803,8.32179161181977,0.9238156841280653,-1.22937838208388,-1.1995191516280863,0.6170680941300201,1.0534179557015129,2.4777022851140384,2.9465320967609347,1.1942560021507556,0.8777438965656733,3.710104417361431,2.6595970192120846,3.659060266645541,2.0276398430979192,493080.87412705383,3571674.527333178,493101.94474585756,3571653.3707108907,1139748.3511578334,1139727.2805390293,554518.9393439502,554540.0959662385,0.01019747908932297,2.4777022851140384,0.01019747908932297,8.32179161181977,247.56466550338484,78.6355868479777,2.0,20.44344263720354,37.4049193899739,40.8305496803691,0.07641705787428288,-1.7438556847738271,0.2746443499039274,34.75638077744557,-0.30145901856582213,-6.215984051157121,-14.630538720351195,3.849021880116719,4.461376850411107
1294,248.0,-2000.0,-0.6049556081324756,-0.8315174390243135,-1.6083003344623927,0.8296103755128834,1.1405754081163644,0.0,7.658697396950092,3.8909089006700714,3.9170915954315504,9.119461719684214,0.0005331907480970818,-1.0149244605397272,-0.8315174390243135,0.4296539395213941,0.3359010731089299,2.3294795369939654,3.0954100259607342,0.8296103755128834,0.6149910916153333,3.8601287995725584,3.2413387763294303,3.8909089006700714,2.8839398291753118,496066.3886437674,3574345.237642245,496195.8125899746,3574215.285429146,1142842.2190019502,1142712.7950557428,557080.8540622066,557210.8062753053,0.0,2.3294795369939654,0.0,9.119461719684214,245.28199428676518,73.18851024070028,2.0,19.481159023443574,36.26970193796407,41.55189698668105,0.4132916650153651,0.9690233857711447,1.1370169127919458,33.38636634564989,-1.8394656966337255,-5.9695994831522325,-13.785240580457515,3.9783696973097173,4.508555119166572
1295,252.0,-2000.0,-0.7509895770041946,-0.5047995912546708,-1.1770051477778187,0.5609660926760526,1.0451051559550306,0.01350262746787518,6.432410884066695,3.876511441306708,3.6254813973965736,7.021691011230625,0.01798641713215621,-0.8109314386788947,-0.7509895770041946,0.2776806890908097,0.3650018190461065,1.891961424221669,2.6309402261216968,0.5609660926760526,0.4058352740342041,3.5497340985369963,2.4825971509174125,3.876511441306708,2.3315251039838474,499044.5212679738,3577023.3599743294,499086.820151718,3576980.8884401564,1145733.2265636935,1145690.9276799494,559846.457073216,559888.9286073893,0.01350262746787518,1.891961424221669,0.01350262746787518,7.021691011230625,221.14666546528147,67.2981556863733,2.0,19.12506325051984,35.19116746474914,37.60970114403971,1.1428605738312045,1.8660482820948465,2.807123091706538,26.519555608601294,-4.197658436056932,-5.912700788690781,-8.66050126555284,3.9168895710389955,4.0224532565412305
1296,256.0,-2000.0,-0.7310374957765431,-0.1651149781415417,-0.7516166361554447,0.418702031773598,1.1076200452167129,0.17941717278227734,4.558152557057062,3.6504454640976767,3.2870184729870204,3.2841877932305548,0.9992248031187184,-0.5492563700245099,-0.7310374957765431,0.2717588783867318,0.030510679180697768,1.3937434483466338,1.8295822500560768,0.418702031773598,0.17738213139766607,3.009615164508673,1.105307853482522,3.467316628664116,0.2715072176861448,502063.3581032821,3579660.6119538224,501935.0814950779,3579789.412145854,1148581.4879070534,1148709.7645152577,562654.980778914,562526.1805868824,0.17941717278227734,1.3937434483466338,0.17941717278227734,3.6504454640976767,216.1082815162996,67.00952871469117,2.0,18.94739228816651,34.962089072585584,35.12210293375647,1.6024198172787236,2.04962351750499,1.215572185729565,25.510711927485865,-5.017454952993203,-5.713226424704106,-7.702756307141628,3.4925056900199936,3.3166706556801406
1297,260.0,-2000.0,-0.2327801498121149,0.16587367630831312,-0.3696345530711176,0.4950849711588081,1.1105351379358963,1.938803978767193,3.912308657576875,3.2918439914529207,3.09649606529419,1.0219600574409615,2.5147466346019742,-0.14551367552497316,-0.2327801498121149,0.22716197464093696,0.20290064188405768,1.7103206446654209,1.401298623357468,1.2169444749630007,1.0702305017894491,3.1087001548124773,0.9267186235844715,2.9032953130274475,0.5760631326310267,505182.4471133067,3582197.20256149,505120.8662022788,3582259.0348259765,1151767.2726142544,1151828.8535252823,565124.603459036,565062.7711945497,0.4950849711588081,1.7103206446654209,1.938803978767193,3.2918439914529207,216.150756220099,67.63472863378144,2.0,17.61230445441704,34.54698527824526,33.43163129283307,1.811608358602455,1.5913617521628134,0.5077790342193789,24.16022636220491,-4.800252827944519,-6.437245449782565,-6.466157225014264,3.1480275617900992,3.548128148770822
1298,264.0,-2000.0,0.4159132942802937,0.5032332643236932,0.07138742299160597,0.8603719943397891,0.8480916114299772,1.146514231756292,4.168665549529399,2.9362047839738796,3.0907704397983564,2.2326471744081187,2.645796353908453,0.3301779938651976,0.4159132942802937,0.186432497116972,0.12946078130618674,1.7589809424913172,1.3961278111755069,1.0034431130480406,0.212117558000932,2.7968973373083625,0.28824392632192897,2.7910005689411665,0.2152800913438652,508352.3080086113,3584682.8140493827,508412.8084235753,3584622.066691198,1155059.2148355509,1154998.7144205868,567487.6353242579,567548.3826824428,0.8603719943397891,1.7589809424913172,1.146514231756292,2.9362047839738796,233.709170364093,68.20932497659548,2.0,16.760956377606615,33.329262125120735,29.290480274438394,1.8810335874147386,2.746356379849371,1.2103668151967717,26.66883886585099,-1.6980282214799232,-6.77466143305369,-9.017082720657251,2.965903278421847,3.304035210388995
1299,268.0,-2000.0,1.0360064877450843,0.8400859519434449,0.5074462042865535,1.5259653299459859,0.5393593077671722,1.0873527272727272,4.641368933884936,2.7250675140607186,3.1980182487931854,3.808950390844177,2.4505324725597157,0.7945128813250276,0.8400859519434449,0.2181767966377025,0.29047222103031706,2.195163080262409,1.4236237314109168,1.5259653299459859,0.3251440088939447,2.794714172319776,0.5211551112618114,2.7250675140607186,0.2035131307934568,511514.1548185146,3587176.4723335938,511546.3141469386,3587144.1817411426,1158192.7205589144,1158160.56123049,570009.7503742026,570042.0409666542,1.0873527272727272,2.195163080262409,1.0873527272727272,3.808950390844177,235.9656279414658,73.12878082380277,2.0,16.399153860808177,33.98333210306317,30.14779492246494,1.8757770093117077,-0.0454324351477704,-1.9573842290593593,27.90933856269308,-2.2755270749201006,-8.804108094192523,-7.652180085600687,3.123229601612124,3.5537541071256125
1300,272.0,-2000.0,1.6609711872679085,1.1741862082938843,0.8851752442150399,2.1928469698808017,0.7812455815248547,1.9697127272727268,4.301696314935297,2.7009060206125546,3.1961733131184804,2.5201510473384565,2.422786480870104,1.2401108799256109,1.1741862082938843,0.32012953946971273,0.4284882965157379,2.664275745492408,0.9497439244952324,2.1928469698808017,0.16540966155765002,2.9183052708582835,0.11977205859029555,2.610528533975505,0.13399386219104928,514662.77965863823,3589683.4065554105,514616.258914315,3589730.1171824387,1161262.6653262908,1161309.1860706138,572595.6858154987,572548.9751884704,1.9697127272727268,2.664275745492408,1.9697127272727268,2.7009060206125546,231.47030102115963,78.02972523736574,2.0,15.81024656267521,31.415096785491382,31.29694272496363,1.3190736307116189,1.462659984418764,-0.6070341711191722,24.947490315096992,-2.732169630585365,-7.568994941769527,-6.921480126759953,3.409316215902496,3.951565626677402
1301,276.0,-2000.0,2.2825479811635505,1.5098199963608594,1.306647159265974,2.4284492201503483,1.6183877274625544,2.4639742985618005,3.780094836762042,2.909655675949866,2.911649094534736,2.1614572121662183,2.2738065957570965,1.6996717122634613,1.5098199963608594,0.420419123469634,0.30122449901695425,2.7752418939061343,0.5803333675179717,2.4462117593560744,0.02633478003270328,3.015845121805894,0.3482843999497441,2.5917311358534816,0.4713556284642729,517821.25758414326,3592180.4474747223,517687.28584160405,3592314.966046794,1164333.69225358,1164467.6639961188,575180.5346798538,575046.0161077823,2.4284492201503483,2.7752418939061343,2.4639742985618005,2.909655675949866,237.64017664813443,77.31417749218926,2.0,15.736168093878119,31.48761082167907,29.746211410429304,1.1174229540730747,0.546943009122524,-0.26450297545527973,26.36832901081834,-1.2765298409157095,-7.342788980420484,-8.3680732524604,3.563849358792304,4.0984496298493305
1302,280.0,-2000.0,2.9026548300481583,1.8474682210322284,1.7215099155868177,2.16013876120938,2.059905364195105,2.748913224050197,3.2512931727207475,2.6863923878892253,2.5009281090598576,2.577951444992644,2.1080590026987625,2.157210988889068,1.8474682210322284,0.5296107148457777,0.18674606309257225,2.5801209797974263,0.4559970016715192,2.4545259926297884,0.4364591624036198,2.8432477931373485,0.2389111749648324,2.6321719164409343,0.0803873912576559,520978.3089682018,3594678.920758163,520759.7342866332,3594898.3875912307,1167406.1406986092,1167624.7153801774,577763.9562242907,577544.4893912232,2.16013876120938,2.5801209797974263,2.6863923878892253,2.6863923878892253,231.44861696829014,76.46335824906502,2.0,15.959136972604968,31.554124616437868,28.988021934456476,0.8104226285251293,-0.03319098158275963,0.7544856181815491,24.66365840250723,-0.4303828806322354,-7.461511350151366,-7.32428167216569,3.5990313761060193,3.839411710610264
