,east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
35,498942,3586008,3.2409564012389773,-568.5871,184.42082,597.747713618281,-128,70
36,493420,3583703,3.2409564012389773,-609.7686,153.49566000000002,628.7914305910948,-128,70
37,487898,3581399,3.2409564012389773,-628.03269,162.2282,648.6470909391917,-128,70
38,482376,3579095,3.2409564012389773,-637.22993,211.87007999999997,671.528789023234,-128,70
39,566504,3613145,0.568844679356189,-71.925735,40.137615000000004,82.36710200789179,-128,70
40,562822,3611609,0.568844679356189,-64.770973,37.406015999999994,74.7963165962,-128,70
41,559141,3610072,0.568844679356189,-54.941476,34.002461,64.61217485207487,-128,70
42,555459,3608536,0.568844679356189,-52.088115,36.114202,63.38302067864886,-128,70
43,551778,3607000,0.568844679356189,-34.86933,51.596298,62.273976442441054,-128,70
44,548097,3605464,0.568844679356189,-24.024244,76.33561999999999,80.02681538431936,-128,70
45,544415,3603928,0.568844679356189,-43.308987,103.67645,112.35868742366416,-128,70
46,540734,3602392,0.568844679356189,-107.03811,121.13508999999999,161.65044701973514,-128,70
47,537052,3600856,0.568844679356189,-138.58701000000002,109.24145,176.46544630278927,-128,70
48,533371,3599319,0.568844679356189,-143.84245,109.12008999999999,180.54873154805216,-128,70
49,529689,3597783,0.568844679356189,-166.01851000000002,124.98538,207.80637833417074,-128,70
50,526008,3596247,0.568844679356189,-200.6876,163.13817,258.6301902421852,-128,70
51,522326,3594711,0.568844679356189,-229.33631,187.80737,296.42326378125756,-128,70
52,518645,3593175,0.568844679356189,-267.42671,207.31116,338.37104232184186,-128,70
53,514963,3591639,0.568844679356189,-287.04622,223.1893,363.6055500824738,-128,70
54,511282,3590103,0.568844679356189,-289.12678999999997,238.67907000000002,374.9159894586639,-128,70
55,507600,3588566,0.568844679356189,-342.09634,257.90515,428.42148900109817,-128,70
56,503919,3587030,0.568844679356189,-488.1774,225.21137000000002,537.6219257508355,-128,70
57,500237,3585494,0.568844679356189,-578.9903,205.82811,614.4875738045987,-128,70
58,496556,3583958,0.568844679356189,-687.4699,153.64773,704.4306128641507,-128,70
59,492874,3582422,0.568844679356189,-716.4232900000001,156.82628,733.3872187003687,-128,70
60,489193,3580886,0.568844679356189,-729.75788,144.00191,743.830029983828,-128,70
61,485511,3579349,0.568844679356189,-704.59838,168.04076,724.3594232975795,-128,70
62,481830,3577813,0.568844679356189,-736.74243,184.45524,759.4821549751927,-128,70
63,462645,3566742,21.412902765106907,1.3055756e-17,0.80531286,0.80531286,-137,35
64,441527,3544096,21.412902765106907,1.1771569e-18,7.1233556,7.1233556,-137,35
65,420409,3521450,21.412902765106907,-8.841610800000002,1.7417318,9.011532122886091,-137,35
66,399291,3498804,21.412902765106907,-13.822629999999998,-1.6438155e-14,13.822629999999998,-137,35
67,378174,3476158,21.412902765106907,-0.84428228,-2.0602098e-14,0.84428228,-137,35
68,470672,3565305,13.248481908033588,-44.574647999999996,97.411245,107.12539333311186,-137,35
69,455588,3549129,13.248481908033588,-62.749131000000006,75.566939,98.22329515489125,-137,35
70,440504,3532953,13.248481908033588,-72.464656,164.05858,179.34978126781962,-137,35
71,425420,3516778,13.248481908033588,-157.0986,77.271378,175.07380152375424,-137,35
72,410335,3500602,13.248481908033588,-114.60432,-2.0120921000000004e-16,114.60432,-137,35
73,395251,3484426,13.248481908033588,-156.73958000000002,21.425068,158.19712221586406,-137,35
74,380167,3468251,13.248481908033588,-172.29391999999999,82.236734,190.91379019849023,-137,35
75,476754,3565131,7.8055346699847075,-187.72336,239.30915,304.152805614895,-137,35
76,467156,3554837,7.8055346699847075,-201.71052,201.29152,284.96562933550564,-137,35
77,457557,3544544,7.8055346699847075,-240.39927000000003,162.12613000000002,289.95980936210765,-137,35
78,447958,3534250,7.8055346699847075,-221.57797999999997,280.42051000000004,357.39678740797393,-137,35
79,438359,3523957,7.8055346699847075,-276.65657999999996,297.19728,406.03581922866704,-137,35
80,428760,3513663,7.8055346699847075,-265.67675,191.99655,327.7908032609594,-137,35
81,419161,3503369,7.8055346699847075,-152.89121,147.39192,212.36784167229862,-137,35
82,409562,3493076,7.8055346699847075,-180.18405,228.57685,291.05612556743245,-137,35
83,399963,3482782,7.8055346699847075,-237.12014,264.96554,355.57375912897623,-137,35
84,390364,3472489,7.8055346699847075,-160.68178,170.89915,234.57441014460827,-137,35
85,380765,3462195,7.8055346699847075,-114.48473,286.45827,308.48840149115136,-137,35
86,480675,3564871,4.176902909836567,-327.20992,310.96313,451.4027026567334,-137,35
87,474464,3558210,4.176902909836567,-352.36657,316.53467,473.662746018276,-137,35
88,468253,3551550,4.176902909836567,-338.73777,315.11041,462.6422454931467,-137,35
89,462042,3544889,4.176902909836567,-359.40001,281.05088,456.243317032452,-137,35
90,455831,3538229,4.176902909836567,-356.74346,319.74463,479.06421768548785,-137,35
91,449620,3531568,4.176902909836567,-365.65854,519.7196700000001,635.4641636314676,-137,35
92,443409,3524908,4.176902909836567,-378.47197,586.9429200000001,698.3860131859797,-137,35
93,437198,3518247,4.176902909836567,-405.30581,475.22245,624.5872049632129,-137,35
94,430987,3511586,4.176902909836567,-325.12394,319.3212,455.7100011307231,-137,35
95,424775,3504926,4.176902909836567,-238.20382,281.69883,368.9109522445238,-137,35
96,418564,3498265,4.176902909836567,-210.56155,336.17318,396.6718710593365,-137,35
97,412353,3491605,4.176902909836567,-248.10291,488.88907,548.2404369580313,-137,35
98,406142,3484944,4.176902909836567,-252.9125,429.54375999999996,498.47023422787,-137,35
99,399931,3478284,4.176902909836567,-254.2961,294.48635,389.0870298680393,-137,35
100,393720,3471623,4.176902909836567,-150.57242,161.48167,220.79036077384652,-137,35
101,387509,3464962,4.176902909836567,-29.077901,154.49671999999998,157.2092898569426,-137,35
102,381298,3458302,4.176902909836567,-60.042834,213.49063999999998,221.7732970453412,-137,35
103,483235,3564639,1.757815184644473,-458.12830999999994,382.0792,596.5451060029711,-137,35
104,479174,3560284,1.757815184644473,-532.64814,422.17505,679.6659575761921,-137,35
105,475113,3555929,1.757815184644473,-490.03407999999996,388.76105,625.5146309708102,-137,35
106,471051,3551574,1.757815184644473,-409.54176,419.91289000000006,586.5588532892925,-137,35
107,466990,3547219,1.757815184644473,-441.23335999999995,417.93851,607.749517579331,-137,35
108,462929,3542864,1.757815184644473,-448.57777000000004,368.69183,580.6510839109162,-137,35
109,458868,3538510,1.757815184644473,-439.02137,386.61045,584.9849599484413,-137,35
110,454807,3534155,1.757815184644473,-431.1162,501.89065,661.6308657097721,-137,35
111,450746,3529800,1.757815184644473,-433.32609,635.61064,769.2674346128904,-137,35
112,446685,3525445,1.757815184644473,-425.03129,805.7732900000001,911.0006544215478,-137,35
113,442624,3521090,1.757815184644473,-482.4382,843.1655,971.4291931013242,-137,35
114,438563,3516735,1.757815184644473,-465.17981,633.95609,786.3158269294369,-137,35
115,434502,3512380,1.757815184644473,-399.16801,477.3866,622.2805364680146,-137,35
116,430441,3508025,1.757815184644473,-310.25968,362.91571,477.4608691804036,-137,35
117,426379,3503670,1.757815184644473,-272.53893999999997,353.5428,446.39666805226443,-137,35
118,422318,3499315,1.757815184644473,-253.32746,390.27614,465.2851463816046,-137,35
119,418257,3494960,1.757815184644473,-260.15725,480.84483,546.7115741095037,-137,35
120,414196,3490605,1.757815184644473,-286.56829,607.50103,671.6985084728007,-137,35
121,410135,3486250,1.757815184644473,-293.50426,573.52515,644.2638033606033,-137,35
122,406074,3481895,1.757815184644473,-301.61773999999997,439.14135999999996,532.7460888128201,-137,35
123,402013,3477540,1.757815184644473,-285.82687999999996,330.89648,437.252199316281,-137,35
124,397952,3473185,1.757815184644473,-194.47294,248.30921,315.40004464658483,-137,35
125,393891,3468830,1.757815184644473,-104.29786999999999,98.322374,143.3364395941687,-137,35
126,389830,3464475,1.757815184644473,4.5190365e-19,23.13695,23.13695,-137,35
127,385769,3460120,1.757815184644473,-1.1255978999999999e-14,69.67649,69.67649,-137,35
128,381707,3455765,1.757815184644473,-51.248965000000005,70.51084,87.16785514785153,-137,35
129,484901,3564442,0.1450900472838178,-498.39609,384.70365,629.5995241823255,-137,35
130,482194,3561539,0.1450900472838178,-701.44156,607.61513,928.017461204341,-137,35
131,479487,3558636,0.1450900472838178,-631.7327799999999,472.3969,788.8251621596121,-137,35
132,476779,3555732,0.1450900472838178,-540.2914400000001,412.54755,679.786967474573,-137,35
133,474072,3552829,0.1450900472838178,-467.93689000000006,413.07645,624.1771275587361,-137,35
134,471364,3549926,0.1450900472838178,-412.88645,482.38999,634.9608830832043,-137,35
