,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
331,-0.0,-0.0,0.0,222.0,47.0,-180.0
332,-0.0,0.0016,0.0016,222.0,47.0,-0.0
333,-0.0,0.0076,0.0076,222.0,47.0,-0.0
334,4.0455,5.5438,6.8629999999999995,222.0,47.0,36.119504890673326
335,3.3109,5.3126,6.2599,222.0,47.0,31.93184166816958
336,2.1036,4.0037,4.5226,222.0,47.0,27.718064444304535
337,0.8321,2.1771,2.3307,222.0,47.0,20.917140434655263
338,0.0993,0.6775,0.6847,222.0,47.0,8.338372269891064
339,-0.0,0.0107,0.0107,222.0,47.0,-0.0
340,-0.0,-0.0,0.0,222.0,47.0,-180.0
341,-0.0,0.057999999999999996,0.057999999999999996,222.0,47.0,-0.0
342,-0.0,0.1072,0.1072,222.0,47.0,-0.0
343,-0.0,0.09,0.09,222.0,47.0,-0.0
344,5.0051,6.3938,8.1198,222.0,47.0,38.054024836719925
345,4.3695,6.216,7.5981,222.0,47.0,35.10507151633361
346,2.9239,4.8473,5.6608,222.0,47.0,31.098454707046127
347,1.2986,2.8009,3.0873,222.0,47.0,24.87416922044743
348,0.2596,0.995,1.0283,222.0,47.0,14.62274926473134
349,-0.0,0.0789,0.0789,222.0,47.0,-0.0
350,-0.0,-0.0,0.0,222.0,47.0,-180.0
351,-0.0,0.14400000000000002,0.14400000000000002,222.0,47.0,-0.0
352,-0.0,0.2766,0.2766,222.0,47.0,-0.0
353,-0.0,0.2221,0.2221,222.0,47.0,-0.0
354,5.5161,6.3487,8.4103,222.0,47.0,40.98590860970402
355,5.0667,6.2431,8.0404,222.0,47.0,39.06167776467159
356,3.6096,5.0188,6.182,222.0,47.0,35.72428306776037
357,1.8273,3.0823,3.5833,222.0,47.0,30.661010440497776
358,0.518,1.2563,1.3589,222.0,47.0,22.407426289822027
359,-0.0,0.1945,0.1945,222.0,47.0,-0.0
360,-0.0,-0.0,0.0,222.0,47.0,-180.0
361,-0.0,0.2119,0.2119,222.0,47.0,-0.0
362,-0.0,0.4273,0.4273,222.0,47.0,-0.0
363,-0.0,0.342,0.342,222.0,47.0,-0.0
364,5.6774,5.7777,8.1003,222.0,47.0,44.498335254084
365,5.4379,5.7472,7.9121,222.0,47.0,43.416011519148
366,4.1278,4.7856,6.3198,222.0,47.0,40.77928013797717
367,2.3776,3.1664,3.9597,222.0,47.0,36.90230999543253
368,0.9352,1.5201,1.7847,222.0,47.0,31.600772181035637
369,0.1855,0.4141,0.4538,222.0,47.0,24.13044363047865
370,0.0469,0.0836,0.0959,222.0,47.0,29.292633630485483
371,0.0596,0.2827,0.2889,222.0,47.0,11.904999955369467
372,0.0515,0.5143,0.5169,222.0,47.0,5.718314197354562
373,0.0144,0.4014,0.4017,222.0,47.0,2.054572880925691
374,5.5398,5.0134,7.4715,222.0,47.0,47.85558141162441
375,5.4866,5.0369,7.4479999999999995,222.0,47.0,47.44692787275064
376,4.4224,4.378,6.2229,222.0,47.0,45.28906765897437
377,2.8796,3.1786,4.289,222.0,47.0,42.17448279195846
378,1.5138,1.8354,2.3791,222.0,47.0,39.51510771528396
379,0.7019,0.7917,1.058,222.0,47.0,41.55933661034882
380,0.4796,0.3418,0.589,222.0,47.0,54.523393048537315
381,0.4528,0.3979,0.6028,222.0,47.0,48.692467794119004
382,0.3678,0.5353,0.6495,222.0,47.0,34.49262087173842
383,0.1805,0.3878,0.4278,222.0,47.0,24.95943992281508
384,5.1017,4.2589,6.6457,222.0,47.0,50.144865383459646
385,5.1841,4.3116,6.7428,222.0,47.0,50.24980699900037
386,4.4201,3.9317,5.9157,222.0,47.0,48.346754670649325
387,3.2277,3.1567,4.5147,222.0,47.0,45.63715191038197
388,2.1344,2.1558,3.0336,222.0,47.0,44.714204579620464
389,1.4605,1.2351,1.9127,222.0,47.0,49.779824653016675
390,1.2656,0.6769,1.4353,222.0,47.0,61.860117898992854
391,1.1827,0.5207,1.2923,222.0,47.0,66.23784352836768
392,0.9421,0.4953,1.0644,222.0,47.0,62.26728310135954
393,0.4872,0.3179,0.5818,222.0,47.0,56.87538690820854
394,4.3744,3.6252,5.6813,222.0,47.0,50.35041129917711
395,4.5152,3.6919999999999997,5.8325,222.0,47.0,50.72773448331378
396,4.0547,3.5247,5.3726,222.0,47.0,48.99997533749124
397,3.2917,3.0869999999999997,4.5128,222.0,47.0,46.83805828722472
398,2.5961,2.3816,3.523,222.0,47.0,47.46747412511117
399,2.1901,1.5854,2.7037,222.0,47.0,54.09945075119146
400,2.1056,0.9408,2.3062,222.0,47.0,65.92450174492117
401,1.9851,0.5814,2.0685,222.0,47.0,73.67564361669591
402,1.5692,0.4009,1.6196,222.0,47.0,75.6686014067325
403,0.8165,0.2169,0.8448,222.0,47.0,75.12319140487358
404,3.4754,3.1575,4.6956,222.0,47.0,47.74395829437124
405,3.6009,3.2276,4.8357,222.0,47.0,48.129127260640175
406,3.388,3.1873,4.6516,222.0,47.0,46.74831471693183
407,3.0389,2.9467,4.2330000000000005,222.0,47.0,45.88249350451839
408,2.7567,2.4324,3.6765,222.0,47.0,48.5761281511884
409,2.6566,1.7316,3.1711,222.0,47.0,56.903265614610135
410,2.7059,1.0405,2.8991,222.0,47.0,68.96674580329751
411,2.5818,0.5495,2.6396,222.0,47.0,77.98468200735124
412,2.0335,0.2737,2.0519,222.0,47.0,82.33431336296731
413,1.0542,0.1135,1.0603,222.0,47.0,83.85494482372401
414,2.5736,2.8474,3.8381,222.0,47.0,42.108602617902676
415,2.6363,2.8988,3.9183,222.0,47.0,42.28480393353342
416,2.5905,2.8886,3.88,222.0,47.0,41.885793457728
417,2.5660000000000003,2.7094,3.7316,222.0,47.0,43.44292527266671
418,2.6333,2.2834,3.4855,222.0,47.0,49.07062692563743
419,2.7966,1.6524,3.2483,222.0,47.0,59.42284389962572
420,2.9745,0.9723,3.1293,222.0,47.0,71.89854615778269
421,2.8736,0.4447,2.9078,222.0,47.0,81.20305291655178
422,2.2624,0.1516,2.2675,222.0,47.0,86.16642742997301
423,1.1649,0.0353,1.1655,222.0,47.0,88.2642954110716
424,1.7714,2.6874,3.2187,222.0,47.0,33.39087815246898
425,1.7308,2.7056,3.2118,222.0,47.0,32.607463313725994
426,1.7838,2.6430000000000002,3.1887,222.0,47.0,34.01599898058286
427,2.0014,2.4219999999999997,3.1419,222.0,47.0,39.56834798067518
428,2.3387,2.0028,3.0791,222.0,47.0,49.42413632596031
429,2.719,1.4217,3.0682,222.0,47.0,62.39600925361182
430,3.017,0.7956,3.1202,222.0,47.0,75.22708874638492
431,2.9651,0.3132,2.9816,222.0,47.0,83.97027380673056
432,2.3414,0.0655,2.3423,222.0,47.0,88.3975847625299
433,1.1996,-0.0,1.1996,222.0,47.0,90.0
434,1.1201,2.7583,2.9771,222.0,47.0,22.101257413624396
