,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
376,31.5312,103.9415,7.4964,22.0,10.25,399511.0512469733,3488960.1325378567,1233.2824666425263,555.2203946019249,5.9964,-289.6549894851456,21.460920693751753,-381.03478335435386,-221.34576239737137,87.79442559200592,134.3947810160632,-520.1391341489966,39.48967726512343,120.19291287376709,438.5973963863639,4.4224,4.378,6.2229,222.0,47.0,45.28906765897437
377,31.548,103.9195,10.4949,22.0,14.35,397440.7357829004,3490842.6937894267,1230.8418359994157,557.4396876313435,8.9949,232.1867365800387,389.99322207195667,524.7743105729908,67.93066492652584,-58.46820222215579,-171.66116850414375,544.9172607893008,126.27986782004203,-109.48810089978556,-159.8149345688002,2.8796,3.1786,4.289,222.0,47.0,42.17448279195846
378,31.5647,103.8975,13.4935,22.0,18.45,395371.0591922455,3492714.6074002218,1228.4019585043484,559.6464284875292,11.9935,-63.37699631955999,30.834825215835274,-152.9817613597308,-60.49363654873713,-15.926509525248104,59.64579293454888,-133.193848119089,19.761090998855597,68.25557288697468,150.97490404187712,1.5138,1.8354,2.3791,222.0,47.0,39.51510771528396
379,31.5815,103.8755,16.492,22.0,22.55,393302.24294156,3494598.042513418,1225.9630952373682,561.8667516852961,14.992,391.1120309057355,289.0406808718996,767.8742706583442,142.67974597335765,42.496034958454295,-123.65772789732628,616.8986806806245,21.77457179413824,-168.45176677851313,-200.2859490707315,0.7019,0.7917,1.058,222.0,47.0,41.55933661034882
380,31.5983,103.8536,19.4906,22.0,26.65,391243.66542093013,3496481.8156577107,1223.536302091466,564.0874733774313,17.9906,-30.794838842792593,-82.86689975340285,-228.30368574472007,16.846020898872972,-158.52231352684262,102.77467315613161,-65.26482747428523,24.106861688553742,100.54916391700853,142.5575190328455,0.4796,0.3418,0.589,222.0,47.0,54.52339304853732
381,31.6151,103.8316,22.4891,22.0,30.75,389176.3506942407,3498366.1242168164,1221.099208924521,566.3088262534716,20.9891,109.43635076137532,63.72385174734258,337.8559877652481,-12.75946113126755,53.899932022780675,-189.7596541806075,239.16971607141312,3.486455378282908,-197.57151794771235,54.100447862417695,0.4528,0.3979,0.6028,222.0,47.0,48.692467794119004
382,31.6318,103.8095,25.4877,22.0,34.85,387100.1833905494,3500239.889685954,1218.6516797293111,568.51775020798,23.9877,144.39582269997732,238.55257406981877,534.3986448632983,-32.85405450920513,10.996920894373076,-35.67166268099708,259.2138754077479,107.61588563584905,-139.82278559256193,20.913138737182038,0.3678,0.5353,0.6495,222.0,47.0,34.49262087173842
383,31.6486,103.7875,28.4862,22.0,38.95,385034.37294443604,3502125.076957033,1216.2163599120486,570.7401389702927,26.9862,183.24222280009127,312.6158355586511,842.5065782135073,-133.72788035289582,-142.72516487117971,-401.7218140304225,624.2766203435526,241.8460505114702,-468.24649975401474,152.4485405730547,0.1805,0.3878,0.4278,222.0,47.0,24.95943992281508
384,31.4708,103.9572,1.4993,26.0,2.05,400937.935571252,3482250.9702767557,1234.9645762854489,547.3111714481595,-0.0006999999999999229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1017,4.2589,6.6457,222.0,47.0,50.144865383459646
385,31.4876,103.9353,4.4978,26.0,6.15,398875.4811969347,3484133.096884525,1232.5332128370624,549.5299520894914,2.9978,25.657450087033332,211.41184559759765,-92.79168139861508,-213.35108030327996,-120.44635196242719,117.15610741976545,-120.13357568536323,100.99115757758123,63.43857406902935,191.34315974831895,5.1841,4.3116,6.7428,222.0,47.0,50.24980699900037
