index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48
217,3.7782,4,21.3867,49.8,-140.67,32.0124,104.3874,1.4528800000000002,0.6181,442143.9580380501,3541974.1031234227
218,3.7839,4,3.0547,49.79,-140.67,31.8978,104.4891,3.3389900000000003,3.6722,451689.0285053015,3529221.50180591
219,3.7829,4,6.1094,49.79,-140.67,31.9125,104.4679,2.8034600000000003,3.0928400000000003,449692.3179748487,3530860.5346728056
220,3.782,4,9.1641,49.79,-140.67,31.9272,104.4467,2.2765700000000004,2.35319,447696.245181364,3532499.968359915
221,3.781,4,12.2188,49.79,-140.67,31.9419,104.4256,1.88445,1.73784,445710.262106293,3534139.753025265
222,3.78,4,15.2735,49.79,-140.67,31.9566,104.4044,1.63416,1.31597,443715.46415263205,3535779.9873737684
223,3.7791,4,18.3282,49.79,-140.67,31.9714,104.3832,1.50328,1.07361,441721.367977309,3537431.7079049754
224,3.7781,4,21.3829,49.79,-140.68,31.9861,104.3621,1.47889,0.97716,439737.2969133408,3539072.6902763206
225,3.7835,4,3.0542,49.78,-140.65,31.8715,104.4637,3.6241,4.15716,449272.7472827017,3526317.9399815314
226,3.7774,4,6.1083,49.78,-140.65,31.8862,104.4425,2.96334,3.60291,447275.8388399807,3527957.4342922955
227,3.7713,4,9.1625,49.78,-140.65,31.9009,104.4214,2.34475,2.94205,445289.02357107744,3529597.2790256618
228,3.7653,4,12.2166,49.78,-140.65,31.9157,104.4002,1.9353799999999999,2.34343,443293.4498326554,3531248.6579185887
229,3.7593,4,15.2708,49.78,-140.65,31.9304,104.3791,1.7096799999999999,1.86443,441307.9077013858,3532889.299783132
230,3.7537,4,18.325,49.78,-140.66,31.9452,104.3579,1.60158,1.5316800000000002,439313.6150408765,3534541.480202082
231,3.7487,4,21.3791,49.78,-140.66,31.9599,104.3368,1.58658,1.34633,437329.3471987615,3536182.920370889
232,4.1996,4,3.0536,49.77,-140.42,31.8438,104.4369,4.2034400000000005,4.775,446721.84068608674,3523260.448856818
233,4.1942,4,6.1072,49.77,-140.43,31.8586,104.4158,3.3504,4.08858,444734.24403556,3524911.463109685
234,4.2008,4,9.1609,49.77,-140.43,31.8733,104.3946,2.63988,3.44275,442737.76500139263,3526551.843175283
235,4.2228,4,12.2145,49.77,-140.43,31.888,104.3734,2.20211,2.8616099999999998,440741.9230521281,3528192.62450233
236,4.2652,4,15.2681,49.77,-140.45,31.9026,104.3521,1.96038,2.3310700000000004,438737.19646590686,3529822.779501579
237,4.3361,4,18.3217,49.77,-129.65,31.9171,104.3308,1.81758,1.9157400000000002,436733.0376463186,3531442.255560301
238,4.4499,4,21.3753,49.77,-129.35,31.9315,104.3092,1.7698200000000002,1.6522100000000002,434701.0816866692,3533051.233642213
239,4.2004,4,3.0531,49.75,-140.43,31.8147,104.4086,4.99187,5.596419999999999,444026.61280627374,3520049.1772174044
240,3.8958,4,6.1062,49.75,-140.97,31.8303,104.3885,3.8205,4.39459,442133.93640787294,3521788.8433205457
241,3.5782,4,9.1592,49.75,-141.66,31.8458,104.3684,3.07896,3.68854,440241.8366005707,3523517.787115293
242,3.2442,4,12.2123,49.75,-142.56,31.8611,104.3481,2.6310900000000004,3.11412,438331.32087834337,3525225.038041192
243,2.8885,4,15.2654,49.75,-143.83,31.8763,104.3278,2.34242,2.56445,436421.3718881217,3526921.573953371
244,3.032,4,18.3185,49.75,-129.65,31.897,104.3079,2.13325,2.1181300000000003,434553.77326169686,3529227.8810556657
245,2.8591,4,21.3715,49.75,-129.35,31.9119,104.2871,2.01822,1.82785,432597.7043588701,3530892.2092249524
246,3.7265,4,3.0525,49.74,-126.81,31.7939,104.3833,4.437939999999998,4.60913,441618.9608287465,3517756.9745100997
247,3.4212,4,6.1051,49.74,-126.2,31.8117,104.366,3.84631,4.0168800000000005,439992.7007858745,3519739.381256128
248,3.1047,4,9.1576,49.74,-125.41,31.8296,104.3488,3.3500699999999997,3.54641,438376.6019421485,3521733.087566866
249,2.7741,4,12.2101,49.74,-124.35,31.8476,104.3318,2.97206,3.05913,436780.1260584535,3523738.031041176
250,2.4254,4,15.2627,49.74,-122.84,31.8657,104.3152,2.66129,2.54933,435222.1870847024,3525754.0836560405
251,3.0323,4,18.3152,49.74,-129.64,31.8797,104.2832,2.41759,2.1262600000000003,432205.36942016,3527325.448562208
252,2.8594,4,21.3677,49.74,-129.34,31.8956,104.2637,2.24452,1.8591,430372.98827709217,3529100.229714543
253,3.7263,4,3.052,49.73,-126.79,31.7738,104.3518,4.0606,3.93847,438623.6233304625,3515546.3965956857
254,3.7251,4,6.104,49.73,-126.79,31.7925,104.3354,3.8304199999999997,3.57442,437083.3830058647,3517628.5106180115
255,3.7377,4,9.156,49.73,-126.79,31.8111,104.3191,3.56106,3.22879,435553.16804316384,3519699.7274371325
256,3.7680000000000002,4,12.208,49.73,-126.78,31.8298,104.3028,3.2531100000000004,2.8033400000000004,434023.6471433165,3521782.272168858
257,3.8222,4,15.2599,49.73,-126.76,31.8486,104.2867,2.91929,2.34185,432513.7485535552,3523876.0208455333
258,3.0326,4,18.3119,49.73,-129.64,31.8623,104.2585,2.61857,1.9727599999999998,429856.0170281011,3525412.4595915717
259,2.8597,4,21.3639,49.73,-129.32,31.8793,104.2403,2.4003799999999997,1.7676300000000005,428147.4927078478,3527308.72395136
260,3.7283,4,3.0514,49.72,-126.79,31.7538,104.3202,3.73345,3.46058,435617.5930941033,3513347.8201331096
261,3.7273,4,6.1029,49.72,-126.79,31.7724,104.3038,3.69233,3.1560500000000005,434077.53795941576,3515419.2972638286
262,3.7262,4,9.1543,49.72,-126.79,31.791,104.2874,3.5678,2.80225,432538.1089350675,3517491.0208740165
263,3.7252,4,12.2058,49.72,-126.79,31.8097,104.2711,3.31684,2.38354,431008.8461403241,3519574.01201925
264,3.7244,4,15.2572,49.72,-126.79,31.8283,104.2547,2.98908,1.98501,429470.6704991883,3521646.227846765
265,3.033,4,18.3087,49.72,-126.79,31.8449,104.2338,2.67418,1.7176200000000001,427505.78726777155,3523499.998080699
266,2.8923,4,21.3601,49.72,-126.78,31.8629,104.2167,2.45023,1.60182,425902.2181114867,3525506.743590705
267,3.7274,4,3.0509,49.71,-126.78,31.7337,104.2887,3.39984,3.1402,432619.6754346488,3511138.9603176867
268,3.7265,4,6.1018,49.71,-126.78,31.7523,104.2723,3.40195,2.8296300000000003,431079.868938715,3513210.8832692564
269,3.7257,4,9.1527,49.71,-126.78,31.771,104.2559,3.32473,2.41322,429540.76421391673,3515294.137179429
270,3.7249,4,12.2036,49.71,-126.78,31.7896,104.2395,3.11787,1.9762099999999998,428002.211819846,3517366.5537873567
271,3.7241,4,15.2545,49.71,-126.78,31.8082,104.2231,2.83945,1.63327,426464.286289296,3519439.217526897
272,3.7233,4,18.3054,49.71,-126.77,31.8269,104.2067,2.57648,1.45372,424927.0690060575,3521523.2130344706
