index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
390,5.4874,4,15.7421,51.92,225.75,31.2967,103.6535,2.0225299999999997,3.2903599999999997,371849.1962261355,3463266.8246855307,beichuan,310.06534091302524,449.25072763474486,211.56131139574558,59.290919368365,-87.51586465426692,-173.51396360428691,1200.672764314204,524.931351431713,13.891100000000002,341.5045471609574,38.594631951713325,-169.32144429449306,-31.23840520901183
391,5.6728,4,18.8905,51.92,227.68,31.311,103.6338,1.9343400000000002,3.02861,369993.7608189677,3464874.970330129,beichuan,433.04976324589603,-124.55820259614852,606.5420518026064,38.08405210670725,-73.78342270323517,9.77727222153519,1198.4854491008318,526.827144419256,17.0395,231.41240763937563,-237.02232920727263,186.11318714627592,162.5123121401042
392,5.8895,4,22.0389,51.92,228.66,31.3253,103.6139,1.85305,2.8415,368119.8626535251,3466483.7060091537,beichuan,423.7964868327729,311.7964657772464,355.56702077337957,106.52513048696797,-99.62789696466936,-16.21970594907387,1196.2763687147676,528.7236329800714,20.187900000000003,241.18589474913463,-35.992794463397644,-19.704397738717965,-103.67808045680064
393,7.0873,4,3.1364,51.64,210.74,31.1938,103.6945,2.21047,4.7930600000000005,375616.7931236121,3451814.1838054764,beichuan,794.4130511471259,1230.0128001902317,1164.0252271722836,116.12571473542765,-21.19166436055726,-156.45955881940515,1205.114267359725,511.4301885599384,1.2854,1004.1142376485195,-188.3212968964246,-196.76001680707736,-330.10956058434533
394,6.8741,4,6.0175,51.64,212.17,31.2086,103.6738,2.1619900000000003,4.48707,373664.08487782505,3453478.117250215,beichuan,98.10488013025267,287.1393237325847,144.36251190222154,-40.36641115361782,-5.754624364600437,-128.49647765565499,1202.8122802160137,513.3917480535508,4.1665,233.08708943684084,6.676782393955712,-149.91420975770882,10.210565551765256
395,6.547000000000001,4,9.0262,51.64,213.36,31.224,103.6537,2.1631400000000003,4.2041900000000005,371769.9553097328,3455208.24603906,beichuan,740.0266478029231,1068.1293891899531,1141.1739300309466,13.184292845370543,-56.9703221528217,-285.7476486559697,1200.5793496572996,515.4313431837907,7.175199999999999,1054.7015510462002,-177.98748558177618,-281.6361861587575,-299.6565772257192
396,6.0881,4,12.0349,51.64,214.17,31.2397,103.6343,2.12852,3.85541,369943.5276907441,3456971.168953556,beichuan,192.17290329796026,260.2769398140723,201.53185222194006,17.792116685765986,-21.21382235083273,-101.2301186131362,1198.4262308250813,517.5095982909118,10.183900000000001,237.07266242058972,-11.175217100496013,-79.03920989045021,-62.41827454445787
397,3.6678,4,15.6819,51.64,225.76,31.2692,103.6226,2.0443700000000002,3.45915,368870.0232957625,3460254.915029656,beichuan,123.67481696188457,-239.41500958746207,85.40922799685617,122.78251291227787,-65.06809407132732,-21.02083417912595,1197.1607098127652,521.3807046206484,13.8309,-110.63930829847614,-124.82749479076472,101.71878762478329,227.40723296780243
398,3.0198,4,18.8183,51.64,229.55,31.2858,103.6048,1.9222700000000001,3.10597,367198.55662409717,3462116.2328577954,beichuan,628.1562425219195,486.44264532315157,922.6856607112252,123.24168601597208,-112.77357817391186,-159.44801495297543,1195.1902696317416,523.5749544375278,16.9673,663.1953777943747,-253.54448968302495,-77.88043366667556,-132.68116163882684
399,2.2549,4,21.9547,51.64,233.28,31.3022,103.5876,1.8057299999999998,2.85337,365584.5115313853,3463954.94080799,beichuan,82.95601767354495,181.75410249999254,178.67171440933944,-5.432660426715166,-18.931370718002174,-150.43352828735544,1193.2875219679217,525.7425501710529,20.1037,268.39398647929704,-38.25232294088009,-101.15165315220568,-52.89344414803533
