,txx,tyy,txy,mu,phi
65599,1.5139121940630949,0.8717842926482265,0.36286463542788105,0.440252627593308,0.4676630724845618
65600,1.1077590386588552,0.4525913397608077,0.4234624298168563,0.32831298897602185,0.4749754437826782
98371,1.7574679879510255,0.18371100145543548,0.04549726838635615,0.37220225433035475,0.24129105735269735
98372,0.8798757080102937,0.41903781788568173,0.2314637275847336,0.11979941243751244,0.07878842096559971
98375,0.9550949861577795,0.1930518421845131,-0.19038881203786756,0.6069052357787081,0.6682481792576712
72,0.8442788912069937,0.22112316566511933,-0.3638068870457688,0.5208600912020127,0.6523089838933639
65610,1.8503959770290968,0.8527343590586262,-0.7530099249249268,0.45291194350935815,0.3061274794137402
32843,1.8360525049969572,0.4452003098602393,-0.6318195658827831,0.521786924958695,0.393120305030954
76,0.9867491054210404,0.2146810044958345,0.233934861712811,0.27256292549828953,0.3832349990460086
65616,0.5687610704746932,0.1905881203850449,-0.055145814171648,0.1390582565345006,0.29785316325477745
65625,2.0684868135258547,0.4733834895727859,-0.4764601688958681,0.5988345964765374,0.4166294526106827
32783,1.119020559627445,0.5369738178766853,0.023081986820711692,0.20455754872472226,0.2137107818190147
65628,1.8766381530272869,0.5597641342635596,0.2578265796354988,0.2556257017307734,0.03290976242824563
98397,1.748618963881199,1.0884734395986018,-0.1655509201796273,0.30643027964107467,0.18286615696555608
32865,1.1944072461511637,0.4282502713396083,-0.05254332546017547,0.22472451509968705,0.1957561862422202
98403,0.9990557853022872,0.7220858717037651,-0.4430814763955133,0.4681340863709712,0.6177249069685941
65636,2.1247193006707388,0.6847777111414681,0.24990113961393104,0.5331260713715811,0.38133406255301133
98406,1.4242179266105732,0.227152738820763,0.4041002848566993,0.8471482669366673,0.5926580460405296
65640,1.0169495875941263,0.9293280444181848,0.12820305916913807,0.17212048536704688,0.2025815887686966
65641,0.4560459916154755,0.16488517717891665,-0.03450368240472911,0.08020404706573556,0.040680116488568965
54632,1.5141245672604209,0.7609056339383105,-0.010846745047358828,0.292882870283086,0.25553601605293136
32885,1.3610130191019836,0.6348530711254624,0.10013790630990556,0.5389560262407235,0.5556601268732531
98425,2.131840411914878,1.506509623180819,-0.2991604329475375,0.3381315119589921,0.13105994640364346
130,0.9969875890516592,1.0204694586654193,-0.0672224045613491,0.1751435603475417,0.09038581352446894
32901,1.207322859737596,0.3980670172014341,-0.1263463621144082,0.19252333698226992,0.028367072635433043
134,1.2421637645862804,0.7931824183962138,-0.8083058244616299,0.32834288947656165,0.2205610805935496
65671,1.981592833712516,0.5151859902891109,0.42179113851182265,0.329464108408174,0.16077723612923378
32905,2.444874253740178,1.4419519478838012,-0.23376502356410356,0.30755821807064676,0.026961150644309848
32906,0.1938502953162679,0.03090209704700087,-0.022968399122575426,0.03938931620606915,0.11463848895791814
98443,1.879956537898512,1.0202145112189929,0.11413251577702968,0.2524645302601123,0.09066526890363312
141,0.9332355614791346,0.25507136540014125,0.008587184634481384,0.47401939981809404,0.6222174594597621
32914,0.4406791479782822,0.4472173802252325,-0.003009767099252809,0.10731676388009324,0.2889796941012697
98452,2.1877431305121573,1.4903234502049918,-0.2745399024124708,0.3696645566238915,0.17895900360283806
32917,2.41709034330006,1.1452651616502585,-0.06519359285872837,0.3534467513342108,0.1407653590215111
32918,1.4068017888037043,0.4246357406895723,-0.02604838439869904,0.24989604959123662,0.16864207235799414
32920,1.6838216378877515,1.3938829914541129,-0.22990107560009154,0.4569307172082205,0.4603412033789607
153,1.8346837068388548,0.5692050564661176,0.31203729090120186,0.3821617526335266,0.30912636414152794
65690,1.4711527559385322,1.1806810115376989,0.023963900109013368,0.3987448204560986,0.4072976636504693
32923,1.9847775858819932,1.095805332880095,-0.6028048173503171,0.36182571930146323,0.16492887630414546
157,1.1519465612719837,0.5895994019729144,0.0066070709619440475,0.23618694099971263,0.2815691412533545
65694,2.2460668659896323,0.4644443708417221,-0.3501438834673821,0.3617764304137905,0.1161542772645287
65703,1.228191521923691,0.7316249559423831,0.019490284589736003,0.23475334524589478,0.2510743453978741
170,0.8048991343097245,0.4555988799891893,-0.09674538347246654,0.12914495229689874,0.004451615098711096
176,2.03602751762855,1.3875383874631022,0.5957424777919257,0.20218783991799089,0.037259856090426084
65713,0.810254457391011,0.4101857536576871,-0.009890666408588959,0.289925349726296,0.5214777564815409
98490,1.8677765188268307,1.2825678824802933,0.2326610628292656,0.488078189745917,0.44047374915248977
32957,1.9238483732817715,0.5353807784144197,-0.8271908982326321,0.3108945839521332,0.014723824189323054
192,1.3310569015778808,1.2051026254349593,-0.2810821135078146,0.3461049315374131,0.3615247284095417
194,1.068996578195652,0.8706736476043517,0.3766307312845372,0.2819426977737812,0.475893349252881
65731,0.543853679280061,0.029910325967620117,-0.1109698343500101,0.3354538576775337,0.6782077268490941
30558,1.5732681244549043,0.500365216048409,0.5262446543364375,0.6006667077524479,0.5055094555950128
32965,0.9756157121314916,0.4634116997456783,0.3495269124901785,0.20936757632118372,0.3826465392728805
98502,1.3140274476393423,1.1351352715907976,-0.10507010929527856,0.2440370639376017,0.1700733719592044
