,index,ul_lon,ul_lat,ul_z,ur_lon,ur_lat,ur_z,lr_lon,lr_lat,lr_z,ll_lon,ll_lat,ll_z,s_slip_m,d_slip_m,slip_m,s_slip_m_err,d_slip_m_err,slip_m_err,lon_center,lat_center,easting_utm48,northing_utm48,z_center,ul_east,ul_north,ur_east,ur_north,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
734,734,103.211,30.814,7.2,103.18299999999999,30.788,7.2,103.169,30.8,9.6,103.198,30.826,9.6,0.0,0.0,0.0,0.0,0.0,0.0,103.19025,30.807,326869.5270860627,3409613.6413138723,8.4,328867.3086104097,3410357.6321831644,326141.6330074713,3407518.770430738,226.16527108917117,52.349596410950966,bei_a,48.48996064873123,44.33823053780798,64.38108055619577,0.09907317230745583,13.381252745819715,-4.370533099485184,1147.6476284229452,461.68127881732426,6.549,65.01684640276687,-11.929740732609302,5.686151877614107,-25.7945474251446
735,735,103.18299999999999,30.788,7.2,103.154,30.761999999999997,7.2,103.14,30.774,9.6,103.169,30.8,9.6,0.0,0.0,0.0,0.0,0.0,0.0,103.1615,30.781,324071.3363744727,3406776.437235,8.4,326141.6330074713,3407518.770430738,323318.8031035919,3404682.125144514,225.13986482877246,51.81305911369286,bei_a,48.82927234628183,44.1375133335521,67.1005976198099,-0.19523858611099956,13.906336010079505,-5.147274199064387,1144.3489282419887,458.3365869885574,6.549,67.55597260973336,-13.099600920803347,5.69396463355528,-26.249999368150334
736,736,103.154,30.761999999999997,7.2,103.125,30.736,7.2,103.111,30.749000000000002,9.6,103.14,30.774,9.6,0.0,0.0,0.0,0.0,0.0,0.0,103.1325,30.75525,321248.20683893014,3403968.018015745,8.4,323318.8031035919,3404682.125144514,320494.49332301354,3401846.16486129,225.11793142034043,51.24617395955354,bei_a,48.685374151550896,43.95456490192245,71.86449623298412,-0.8131027432479347,14.436970524145101,-6.18000233237343,1141.0208284555147,455.0258287373824,6.549,71.03953387554415,-15.228545856049177,5.520808466474498,-26.425327349068347
737,737,103.125,30.736,7.2,103.096,30.71,7.2,103.08200000000001,30.72300000000001,9.6,103.111,30.749000000000002,9.6,0.0,0.0,0.0,0.0,0.0,0.0,103.1035,30.7295,318423.6114864696,3401160.283404623,8.4,320494.49332301354,3401846.16486129,317668.70492153824,3399010.888439057,225.09602840689166,50.687986067382774,bei_a,48.318380926998096,44.73565468854121,75.85639760852233,-1.3373288672855934,12.461656834824804,-9.150644373090618,1137.691000662971,451.715877549487,6.549,74.07421215939493,-16.737585369827027,2.888952461145542,-27.459451189389846
738,738,104.46799999999999,31.965,9.6,104.439,31.939,9.6,104.42399999999999,31.95300000000001,11.8,104.45299999999999,31.978,11.8,0.39,1.18,1.24,0.07,0.1,0.12,104.44599999999998,31.95875,447647.96363182034,3535997.4270377527,10.7,449730.35757020104,3536679.7722334308,446975.1236497199,3533811.6666848436,226.14988605401908,46.909583160686225,bei_a,25.427622780183103,35.717190565421056,37.68672843490101,-0.044386624534797914,3.4910920013242976,-3.52359558748666,1290.029578602007,610.6712011662635,8.849,38.97496729922487,-3.7544869943031287,-3.700485497740756,-18.113380479183892
739,739,104.439,31.939,9.6,104.41,31.913,9.6,104.395,31.927,11.8,104.42399999999999,31.95300000000001,11.8,0.0,1.17,1.17,0.0,0.14,0.14,104.417,31.933000000000003,444892.10570728587,3533157.585930806,10.7,446975.1236497199,3533811.6666848436,444218.3510831802,3530944.294210336,226.1265874572781,46.37943578388162,bei_a,25.859112301251535,36.160434962656446,36.75184106837317,0.36790819433961214,3.2186238518873074,-3.8240968362425765,1286.780783229805,607.3234006269467,8.849,38.63771021405995,-3.1902305881540407,-3.964032923380559,-18.094293570196612
740,740,104.41,31.913,9.6,104.381,31.888,9.6,104.367,31.901,11.8,104.395,31.927,11.8,0.0,2.92,2.92,0.0,0.14,0.14,104.38825,31.90725,442158.3623651224,3530318.3437919193,10.7,444218.3510831802,3530944.294210336,441460.67382826784,3528188.497167192,224.98046092374958,47.347307133524104,bei_a,26.312347461739037,36.53236306968918,35.76186545635366,0.7746006048384426,3.530970868763702,-3.4949008151918184,1283.5580580523779,603.976306192485,8.849,37.945025690572464,-2.956822557037299,-3.7417565429577992,-17.99799647324332
741,741,104.381,31.888,9.6,104.352,31.862,9.6,104.338,31.875,11.8,104.367,31.901,11.8,0.0,5.69,5.69,0.01,0.14,0.14,104.3595,31.8815,439423.11002099945,3527479.8205765733,10.7,441460.67382826784,3528188.497167192,438700.85716309724,3525322.5876289387,226.08038556867908,48.414946143100174,bei_a,26.67354196971689,36.764904279147245,35.44854004917051,1.0300513557309174,4.074461712840864,-2.821684185067186,1280.3335539593772,600.630059274672,8.849,37.7169632663569,-2.8457994064886787,-3.1515038334903527,-18.383938367601317
742,742,104.352,31.862,9.6,104.323,31.836,9.6,104.309,31.849,11.8,104.338,31.875,11.8,0.67,6.12,6.16,0.06,0.17,0.18,104.3305,31.8555,436662.5276251171,3524614.450308741,10.7,438700.85716309724,3525322.5876289387,435939.50584218383,3522457.408132625,226.05717738417346,48.41068516925535,bei_a,27.133510441585553,36.806297236833906,35.87336320803319,1.1579041771579406,4.623899298142488,-1.927275505896955,1277.0791890545393,597.2521631999498,8.849,37.706230316608895,-2.969726374623777,-2.324506457612644,-18.852451272795157
743,743,104.323,31.836,9.6,104.294,31.81,9.6,104.28,31.823,11.8,104.309,31.849,11.8,0.4,3.43,3.45,0.06,0.14,0.15,104.3015,31.8295,433900.41101756133,3521749.8095043013,10.7,435939.50584218383,3522457.408132625,433176.62120591494,3519592.9576570583,226.0339995852748,48.406424073858965,bei_a,27.786030436318292,36.55870100558792,37.120499432323115,1.1571087896874899,5.178775617514872,-1.2259235680940894,1273.8230155151778,593.8751270669795,8.849,38.24072005210422,-3.483275567285343,-1.400061585371682,-19.190316806541734
