,index,ul_lon,ul_lat,ul_z,ur_lon,ur_lat,ur_z,lr_lon,lr_lat,lr_z,ll_lon,ll_lat,ll_z,s_slip_m,d_slip_m,slip_m,s_slip_m_err,d_slip_m_err,slip_m_err,lon_center,lat_center,easting_utm48,northing_utm48,z_center,ul_east,ul_north,ur_east,ur_north,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
210,4017,103.66799999999999,31.12,6.5,103.641,31.094,6.5,103.62299999999999,31.11,8.2,103.65100000000001,31.136999999999997,8.2,0.0,0.0,0.0,,,,103.64575,31.11525,370865.1909671369,3443163.3752979287,7.35,372993.3522635349,3443664.16255225,370383.34715293796,3440813.5356075238,227.52309670303035,34.61519207637887,peng_b,34.14863173125709,38.26344519691894,37.24854602286092,0.6052409561467162,7.092264078188488,-9.868894740483292,1199.5127510554662,501.2320189101465,5.499,48.05987346064451,3.5948689944090084,-2.3741949344575577,-24.52780561541477
211,4018,103.641,31.094,6.5,103.61200000000001,31.066999999999997,6.5,103.595,31.084,8.2,103.62299999999999,31.11,8.2,0.0,0.2,0.2,,,,103.61775,31.08875,368158.3920892825,3440259.019395043,7.35,370383.34715293796,3440813.5356075238,367579.74255593744,3437855.059387365,226.53960952792028,34.569311520215805,peng_b,33.96172838427003,37.99935989552756,35.37553765125538,0.6520656566490161,6.835705205397966,-9.429560468097446,1196.3217898707235,497.80816388027733,5.499,46.18508269953124,4.140890151611594,-2.4189990381668824,-22.91537160776192
212,4019,103.61200000000001,31.066999999999997,6.5,103.585,31.04,6.5,103.56700000000001,31.057,8.2,103.595,31.084,8.2,0.0,0.32,0.32,,,,103.58975,31.062,365449.7709299021,3437327.60638311,7.35,367579.74255593744,3437855.059387365,364965.46657105326,3434894.8507962064,228.55101782105555,34.2720196404266,peng_b,34.04874304822878,37.76968230107579,33.667001980091804,0.7681374887262996,6.870999995117105,-8.542716100036719,1193.128680454849,494.35241206433784,5.499,44.4017385059943,4.801622840087448,-1.510225035176111,-21.607519332387973
213,4020,103.585,31.04,6.5,103.556,31.014,6.5,103.539,31.03,8.2,103.56700000000001,31.057,8.2,0.05,0.43,0.43,,,,103.56175,31.03525,362739.66737856326,3434396.84560554,7.35,364965.46657105326,3434894.8507962064,362160.25552777975,3432048.5679526525,225.4163853721456,34.52289801343867,peng_b,34.42125604253447,37.666869930761976,32.20010297638162,0.9009749641337674,7.001092900716988,-7.373403357719431,1189.9338234931047,490.8974291472457,5.499,42.64660358604063,5.020798321826377,-1.0830648861236618,-20.45167503581702
214,4021,103.556,31.014,6.5,103.52799999999999,30.987,6.5,103.51100000000001,31.004,8.2,103.539,31.03,8.2,0.0,0.77,0.77,,,,103.5335,31.00875,360004.5801716274,3431494.761363269,7.35,362160.25552777975,3432048.5679526525,359447.57812282146,3429090.8778855843,227.47417202977527,34.99073717331509,peng_b,34.87688970951384,37.42157179669927,31.87481730352823,0.8464406669576362,7.712580625767751,-5.712801758858391,1186.7095140752076,487.47625210756814,5.499,41.89314168889662,4.889288434111719,0.7243495834156874,-20.193231504246615
215,4022,103.52799999999999,30.987,6.5,103.5,30.96,6.5,103.48299999999999,30.976999999999997,8.2,103.51100000000001,31.004,8.2,0.0,0.98,0.98,,,,103.5055,30.98200000000001,357291.5157999649,3428565.30776025,7.35,359447.57812282146,3429090.8778855843,356733.40862719476,3426133.8373385915,227.45220833633462,34.58127160735385,peng_b,35.31251351421886,37.121232292205356,33.40201538515692,0.561583487491403,8.320578823387615,-4.343217920127585,1183.5111666942807,484.02281017798236,5.499,42.402293370712314,4.229649682527192,2.090186147516368,-20.723451206560597
216,4023,103.5,30.96,6.5,103.47200000000001,30.934,6.5,103.455,30.95,8.2,103.48299999999999,30.976999999999997,8.2,0.0,0.75,0.75,,,,103.4775,30.95525,354576.9731065486,3425636.5031757974,7.35,356733.40862719476,3426133.8373385915,354019.26831728657,3423288.2879239568,226.35399380914419,34.92807707964758,peng_b,36.04471929427476,36.99785432258285,36.153133435295594,0.2889761651292562,8.233783409946408,-3.9639619647458098,1180.3110765657207,480.57013335624106,5.499,44.214854911654776,2.992789256134164,2.3614060520409286,-22.716692324540958
217,4024,103.47200000000001,30.934,6.5,103.444,30.906999999999996,6.5,103.427,30.924,8.2,103.455,30.95,8.2,0.0,0.37,0.37,,,,103.4495,30.92875,351861.33896388026,3422736.0573272607,7.35,354019.26831728657,3423288.2879239568,351302.14545863646,3420332.5434164614,227.40865112980134,34.977614740530896,peng_b,36.96678958966854,37.50293827239017,37.60000966366768,0.3527988131122382,8.356711510189445,-4.17025658355248,1177.109699761514,477.15088776808534,5.499,45.56899597008275,2.6646926289465718,2.558341792530177,-23.64738898241582
218,4025,103.444,30.906999999999996,6.5,103.416,30.88,6.5,103.398,30.897,8.2,103.427,30.924,8.2,0.0,0.1,0.1,,,,103.42125,30.902,349119.9551488381,3419808.885819973,7.35,351302.14545863646,3420332.5434164614,348583.53462938947,3417377.445174398,227.3867794213456,34.18539896663558,peng_b,37.538357582361485,37.98422226076342,39.25292566824775,0.4412261783255598,8.624760997036402,-3.830117789388636,1173.8779674677521,473.70013613032665,5.499,46.697530517379654,2.302311983835068,2.960065503434281,-24.268501209729152
219,4026,103.416,30.88,6.5,103.38799999999999,30.854,6.5,103.37100000000001,30.87,8.2,103.398,30.897,8.2,0.0,0.07,0.07,,,,103.39325,30.87525,346400.9854647497,3416882.0277227107,7.35,348583.53462938947,3417377.445174398,345865.0369726877,3414533.8356530033,226.28857157440274,34.53232961489155,peng_b,38.26585053305688,38.204978817192625,41.358909816165145,0.6182222357536804,8.435793787543634,-3.610656013409726,1170.672658497292,470.2497539619194,5.499,48.038419464738645,1.2677624387034552,2.969306340437319,-25.594429411629413
