lat,lon,x,y,z,slip,rake
32.7000,105.4270,208.1420,202.7620,15.5600,0.4670,175.0000
32.6420,105.3450,200.4820,196.3310,15.5600,0.4670,148.3000
32.5840,105.2640,192.9060,189.8960,15.5600,1.8670,160.0000
32.5260,105.1820,185.2260,183.4770,15.5600,0.0000,130.0000
32.4680,105.1000,177.5370,177.0530,15.5600,0.0000,163.3000
32.4110,105.0190,169.9320,170.6460,15.5600,3.7330,165.0000
32.3530,104.9370,162.2230,164.2340,15.5600,0.0000,151.7000
32.2950,104.8560,154.5990,157.8390,15.5600,2.8000,157.5000
32.9410,105.7430,237.5540,229.6010,19.3200,0.1000,165.8000
32.8830,105.6620,230.0270,223.1470,19.3200,0.0000,145.0000
32.8250,105.5800,222.3970,216.6880,19.3200,0.0000,165.0000
32.7670,105.4990,214.8510,210.2470,19.3200,0.0000,130.8000
32.7090,105.4170,207.2010,203.7990,19.3200,0.0000,180.0000
32.6510,105.3360,199.6350,197.3700,19.3200,0.0000,169.2000
32.5940,105.2540,191.9660,190.9350,19.3200,0.0000,139.2000
32.5360,105.1730,184.3800,184.5170,19.3200,1.4000,150.0000
32.4780,105.0910,176.6910,178.0940,19.3200,0.4670,173.3000
32.4200,105.0100,169.0860,171.6870,19.3200,6.5330,168.3000
32.3620,104.9280,161.3780,165.2870,19.3200,2.3330,149.2000
32.3040,104.8470,153.7530,158.8820,19.3200,3.7330,175.8000
32.9500,105.7340,236.7060,230.6370,23.0800,0.2000,132.5000
32.8920,105.6520,229.0860,224.1830,23.0800,0.0000,163.3000
32.8340,105.5710,221.5500,217.7360,23.0800,0.0000,136.7000
32.7770,105.4890,213.9100,211.2840,23.0800,0.0000,169.2000
32.7190,105.4080,206.3540,204.8490,23.0800,0.2000,160.0000
32.6610,105.3260,198.6950,198.4080,23.0800,0.0000,148.3000
32.6030,105.2450,191.1190,191.9850,23.0800,0.4000,159.2000
32.5450,105.1630,183.4400,185.5560,23.0800,0.5000,157.5000
32.4870,105.0820,175.8450,179.1450,23.0800,0.3000,145.8000
32.4290,105.0000,168.1470,172.7290,23.0800,0.0000,140.0000
32.3720,104.9190,160.5320,166.3290,23.0800,0.3000,164.2000
32.3140,104.8370,152.8140,159.9240,23.0800,3.7330,165.8000
