,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip
72,31.643,103.969,70.459,86.041,15.46,0.0,162.3,402238.71484613576,3501327.5272663925,16.78,221,45,0.0,0.0
73,31.575,103.9,63.846000000000004,78.583,15.46,1.2,88.0,395619.8031585068,3493853.91579276,16.78,221,45,-0.041879396043001296,1.199268992422915
74,31.506999999999998,103.83200000000001,57.318000000000005,71.12899999999999,15.46,0.0,156.9,389086.4249806439,3486383.341875924,16.78,221,45,0.0,0.0
75,31.439,103.76299999999999,50.68600000000001,63.68,15.46,2.8,163.6,382448.73990579275,3478917.755744317,16.78,221,45,2.686079128712161,0.7905560791600542
76,31.371,103.694,44.045,56.235,15.46,0.0,140.7,375801.66657006287,3471456.187774025,16.78,221,45,0.0,0.0
77,31.303,103.625,37.394,48.783,15.46,0.0,161.0,369145.2271546736,3463998.621871804,16.78,221,45,0.0,0.0
78,31.235,103.556,30.734,41.346000000000004,15.46,0.4,161.0,362479.44377325865,3456545.041828508,16.78,221,45,0.37820743023972675,0.13022726178286265
79,31.166999999999998,103.488,24.16,33.911,15.46,3.2,111.0,355899.6532946,3449094.128829709,16.78,221,45,1.146777438544961,2.987457364791046
80,31.099,103.419,17.480999999999998,26.482,15.46,4.0,105.6,349215.3175960497,3441648.413647253,16.78,221,45,1.0756792824610624,3.852650267190633
81,31.031999999999996,103.35,10.794,19.057000000000002,15.46,2.4,93.5,342523.3498684657,3434317.4825060815,16.78,221,45,0.14651649488365628,2.3955235162124806
82,30.964000000000002,103.281,4.0969999999999995,11.635,15.46,0.0,111.0,335820.54534874216,3426879.6248215814,16.78,221,45,0.0,0.0
83,30.896,103.213,-2.5140000000000002,4.205,15.46,0.0,113.7,329204.0977590841,3419444.138638362,16.78,221,45,0.0,0.0
84,31.795,104.084,81.497,102.846,18.29,0.0,101.5,413285.29784071294,3518078.5914414106,19.61,221,45,0.0,0.0
85,31.726999999999997,104.015,74.902,95.382,18.29,0.8,139.4,406684.8015662136,3510598.189276285,19.61,221,45,0.6074170458679048,0.5206193738126808
86,31.659000000000002,103.947,68.393,87.91,18.29,0.0,144.8,400169.6353420029,3503120.9512851783,19.61,221,45,0.0,0.0
87,31.590999999999998,103.87799999999999,61.778999999999996,80.454,18.29,0.0,112.3,393550.27059634525,3495648.633228929,19.61,221,45,0.0,0.0
88,31.524,103.809,55.156000000000006,73.002,18.29,0.0,158.2,386922.6750141407,3488291.208301356,19.61,221,45,0.0,0.0
89,31.456,103.74,48.523,65.555,18.29,0.0,138.0,380284.5284889194,3480826.9706401164,19.61,221,45,0.0,0.0
90,31.388,103.67200000000001,41.976000000000006,58.11,18.29,0.0,98.8,373732.079626057,3473365.6007283423,19.61,221,45,0.0,0.0
91,31.32,103.603,35.325,50.659,18.29,0.0,94.8,367075.2421073332,3465909.32133868,19.61,221,45,0.0,0.0
92,31.252,103.53399999999999,28.664,43.223,18.29,3.6,84.0,360409.0573260149,3458457.026083115,19.61,221,45,-0.3763024677635524,3.580278823325784
93,31.184,103.465,21.995,35.791,18.29,4.0,109.7,353733.5473089976,3451008.6986386883,19.61,221,45,1.3483810336923285,3.765882179248152
94,31.116,103.396,15.315999999999999,28.363000000000003,18.29,0.0,146.1,347048.73401559517,3443564.322567176,19.61,221,45,0.0,0.0
95,31.048000000000002,103.32799999999999,8.722999999999999,20.938000000000002,18.29,0.0,105.6,340450.07671661914,3436122.444069754,19.61,221,45,0.0,0.0
96,30.98,103.259,2.026,13.517999999999999,18.29,0.0,97.5,333746.79197055905,3428685.8635032214,19.61,221,45,0.0,0.0
97,30.912,103.19,-4.681,6.09,18.29,0.0,97.5,327034.2693685977,3421253.1844574483,19.61,221,45,0.0,0.0
0,32.233000000000004,104.85799999999999,154.778,150.96,0.48,6.8,147.3,486621.36458952964,3566271.303123413,0.96,224,55,5.722273317228082,3.6736341792480527
1,32.168,104.785,147.891,143.79399999999998,0.48,2.0,110.0,479729.19637965906,3559077.721557097,0.96,224,55,0.6840402866513374,1.8793852415718169
2,32.103,104.711,140.9,136.644,0.48,2.343,178.8,472732.9148829128,3551889.1052130694,0.96,224,55,2.342486141381563,0.04906808978670467
3,32.039,104.63799999999999,133.993,129.498,0.48,4.513999999999999,110.0,465821.54625962727,3544815.8411790607,0.96,224,55,1.5438789269720683,4.24177249022759
4,31.974,104.564,126.98299999999999,122.34700000000001,0.48,10.0,143.8,458805.6767635798,3537636.7939324663,0.96,224,55,8.069603121438021,5.906056676199253
5,31.909000000000002,104.491,120.057,115.21,0.48,4.743,129.8,451874.52425222297,3530462.0951901274,0.96,224,55,3.036040304657145,3.643968752404081
6,31.845,104.417,113.027,108.079,0.48,10.0,154.3,444839.6717567171,3523403.395741885,0.96,224,55,9.010770213220917,4.33659084587544
7,31.78,104.344,106.08200000000001,100.941,0.48,10.0,127.5,437889.1908509585,3516238.042373341,0.96,224,55,6.087614290087206,7.933533402912351
8,31.715,104.27,99.03299999999999,93.819,0.48,4.0,126.3,430834.3241291553,3509077.940370318,0.96,224,55,2.368052715196878,3.2237131289940635
9,32.247,104.84100000000001,153.18,152.547,3.76,4.4,119.3,485021.9926677089,3567825.402920752,4.24,224,55,2.153282787694924,3.837104798701331
10,32.181999999999995,104.76700000000001,146.19799999999998,145.393,3.76,10.0,175.3,478035.4624555247,3560633.09688246,4.24,224,55,9.966373868180366,0.8193850863004083
11,32.118,104.694,139.30200000000002,138.243,3.76,11.6,132.2,471133.68236945843,3553556.2075019483,4.24,224,55,7.7919588361466845,8.593333316926302
12,32.053000000000004,104.62,132.30100000000002,131.088,3.76,3.6,166.0,464127.5154647087,3546373.499776056,4.24,224,55,3.4930646145935875,0.8709188241588038
13,31.988000000000003,104.54700000000001,125.385,123.948,3.76,15.6,143.8,457205.9598942297,3539195.2037665932,4.24,224,55,12.588580869443312,9.213448414870834
