,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip
29,31.263,103.756,49.802,44.228,10.88,0.1,90.0,381563.07995241025,3459416.8592617004,12.81,223,34,-6.123233995736766e-18,0.1
30,31.613000000000003,104.09,81.89699999999999,82.62799999999999,13.11,0.0,100.0,413684.9219646058,3497900.2873275294,15.04,223,34,0.0,0.0
31,31.546999999999997,104.01799999999999,75.008,75.398,13.11,0.0,100.0,406789.63642613456,3490643.792769692,15.04,223,34,0.0,0.0
32,31.480999999999998,103.946,68.109,68.163,13.11,0.0,95.0,399884.78383375076,3483391.723275076,15.04,223,34,0.0,0.0
33,31.415,103.874,61.2,60.942,13.11,0.0,95.0,392970.38547918,3476144.0622516754,15.04,223,34,0.0,0.0
34,31.349,103.802,54.282,53.727,13.11,0.0,95.0,386046.46257583884,3468900.7929910123,15.04,223,34,0.0,0.0
35,31.284000000000002,103.73100000000001,47.45,46.513999999999996,13.11,0.1,95.0,379209.5050824875,3461771.64587017,15.04,223,34,0.008715574274765823,0.09961946980917456
36,31.633000000000003,104.064,79.452,84.897,15.35,0.1,100.0,411237.66896270274,3500137.9664417594,17.28,223,34,0.01736481776669303,0.0984807753012208
37,31.566999999999997,103.993,72.657,77.668,15.35,0.0,90.0,404436.9466317953,3492882.196373985,17.28,223,34,-0.0,0.0
38,31.502,103.921,65.758,70.445,15.35,0.0,100.0,397532.90849944326,3485742.5044874363,17.28,223,34,0.0,0.0
39,31.436,103.84899999999999,58.849,63.226000000000006,15.35,0.0,90.0,390618.3001432081,3478496.3766226782,17.28,223,34,-0.0,0.0
40,31.37,103.777,51.931000000000004,56.012,15.35,0.0,90.0,383694.16270244453,3471254.6387911155,17.28,223,34,-0.0,0.0
41,31.304000000000002,103.705,45.003,48.791000000000004,15.35,0.0,100.0,376760.5172900128,3464017.2741744486,17.28,223,34,0.0,0.0
42,31.654,104.039,77.10300000000001,87.177,17.59,0.1,100.0,408887.26524727343,3502486.262701145,19.52,223,34,0.01736481776669303,0.0984807753012208
43,31.588,103.96700000000001,70.21300000000001,79.95100000000001,17.59,0.0,95.0,401991.43700554,3495232.9035373223,19.52,223,34,0.0,0.0
