lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip
31.168,103.646,39.209,33.839,4.15,15.6,101.5,370960.5021789145,3449010.0025695413,5.470000000000001,221,45
31.101,103.577,32.542,26.401,4.15,0.1,85.3,364288.6299742197,3441665.991077769,5.470000000000001,221,45
31.033,103.508,25.865,18.967,4.15,0.0,151.5,357606.11456416536,3434215.097608485,5.470000000000001,221,45
30.965,103.44,19.275,11.535,4.15,0.4,92.1,351009.85158797406,3426766.809249628,5.470000000000001,221,45
30.897,103.371,12.58,4.108,4.15,2.8,92.1,344308.89677537663,3419323.7295471686,5.470000000000001,221,45
30.829,103.302,5.875,-3.325,4.15,0.0,138.0,337598.7204144157,3411884.560493401,5.470000000000001,221,45
31.729,104.174,89.955,95.379,6.98,4.0,84.0,421750.0601202246,3510694.6730317674,8.3,221,45
31.661,104.105,83.362,87.91,6.98,6.4,85.3,415151.34807527973,3503208.966717034,8.3,221,45
31.593,104.036,76.759,80.434,6.98,2.0,147.4,408543.1676381753,3495727.3470939007,8.3,221,45
31.525,103.967,70.147,72.973,6.98,8.8,152.9,401925.5413179637,3488249.7985317307,8.3,221,45
31.457,103.899,63.62,65.515,6.98,6.8,139.4,395393.50736783096,3480775.3519058004,8.3,221,45
31.389,103.83,56.99,58.062,6.98,0.4,161.0,388757.1262058547,3473305.8395922687,8.3,221,45
31.321,103.761,50.35,50.613,6.98,5.6,152.9,382111.3662236184,3465840.350892521,8.3,221,45
31.253,103.692,43.7,43.157,6.98,16.0,155.6,375456.24966080603,3458378.8697097288,8.3,221,45
31.185,103.624,37.137,35.715,6.98,16.0,105.6,368887.09280227416,3450920.1941477563,8.3,221,45
31.117,103.555,30.469,28.278,6.98,6.0,119.1,362213.39896297967,3443466.6213221713,8.3,221,45
31.049,103.486,23.792,20.845,6.98,0.0,147.4,355530.4148011534,3436017.0071783443,8.3,221,45
30.981,103.417,17.106,13.415,6.98,3.2,90.8,348838.1622869194,3428571.3351584193,8.3,221,45
30.913,103.348,10.41,5.99,6.98,5.2,108.3,342136.6633227832,3421129.588589901,8.3,221,45
30.846,103.28,3.801,-1.444,6.98,0.0,125.9,335523.2871147587,3413801.1240733955,8.3,221,45
31.745,104.151,87.793,97.246,9.81,0.0,105.6,419584.94136958895,3512484.9176387,11.13,221,45
31.677,104.083,81.293,89.777,9.81,4.4,84.0,413080.5065418575,3504999.769384027,11.13,221,45
31.609,104.014,74.69,82.302,9.81,0.0,84.0,406471.8799155799,3497519.444070701,11.13,221,45
31.541,103.945,68.078,74.842,9.81,3.6,93.5,399853.8044771024,3490043.187983866,11.13,221,45
31.474,103.876,61.456,67.387,9.81,2.4,111.0,393227.438092523,3482681.828438741,11.13,221,45
31.406,103.807,54.824,59.935,9.81,5.6,132.6,386590.59961501864,3475213.6635567355,11.13,221,45
31.338,103.739,48.279,52.486,9.81,7.6,102.9,380039.5174661807,3467748.430799333,11.13,221,45
31.27,103.67,41.629,45.031,9.81,16.0,116.4,373384.00678174756,3460288.2350485777,11.13,221,45
31.202,103.601,34.97,37.592,9.81,16.0,105.6,366719.1583962564,3452832.028860343,11.13,221,45
31.134,103.532,28.302,30.156,9.81,13.6,92.1,360044.9943950164,3445379.7959080674,11.13,221,45
31.066,103.464,21.719,22.723,9.81,0.4,113.7,353456.95320017997,3437930.1990350066,11.13,221,45
30.998,103.395,15.033,15.295,9.81,8.8,88.0,346764.29333429097,3430485.8054920565,11.13,221,45
30.93,103.326,8.337,7.871,9.81,6.4,105.6,340062.3836495878,3423045.3356657294,11.13,221,45
30.862,103.257,1.632,0.44,9.81,0.0,89.4,333351.2459618525,3415608.772770978,11.13,221,45
31.762,104.129,85.725,99.112,12.64,0.0,136.6,417516.16395288083,3514385.722109102,13.96,221,45
31.694,104.06,79.131,91.645,12.64,6.8,84.0,410916.5624902441,3506902.6672520023,13.96,221,45
31.626,103.991,72.527,84.172,12.64,0.0,135.3,404307.48660890537,3499423.6953611127,13.96,221,45
31.558,103.923,66.009,76.712,12.64,7.6,84.0,397783.8720762242,3491947.8565316377,13.96,221,45
31.49,103.854,59.386,69.258,12.64,8.4,105.6,391155.9845332627,3484476.9449170153,13.96,221,45
31.422,103.785,52.755,61.807,12.64,5.2,144.8,384518.68971847073,3477010.0691764494,13.96,221,45
31.354,103.716,46.114,54.361,12.64,0.0,155.6,377872.00989981217,3469547.213331161,13.96,221,45
31.286,103.648,39.559,46.906,12.64,5.2,107.0,371311.1595404915,3462087.1941412166,13.96,221,45
31.218,103.579,32.899,39.468,12.64,5.6,159.6,364645.8458481289,3454632.2716191914,13.96,221,45
31.151,103.51,26.23,32.033,12.64,8.0,92.1,357972.70495571155,3447292.1657675873,13.96,221,45
31.083,103.441,19.552,24.603,12.64,4.4,100.2,351288.84198327374,3439845.1702060867,13.96,221,45
31.015,103.372,12.865,17.176,12.64,1.6,117.8,344595.70401166764,3432402.113151156,13.96,221,45
30.947,103.304,6.264,9.752,12.64,0.0,154.2,337988.851600033,3424961.5227792864,13.96,221,45
30.879,103.235,-0.441,2.322,12.64,2.0,84.0,331277.2984834747,3417526.235294868,13.96,221,45
31.779,104.107,83.658,100.978,15.46,0.0,147.4,415448.15032496746,3516286.962635643,16.78,221,45
31.711,104.038,77.064,93.513,15.46,1.2,100.2,408848.1713851164,3508805.2043383135,16.78,221,45
31.643,103.969,70.459,86.041,15.46,0.0,162.3,402238.71484613576,3501327.5272663925,16.78,221,45
31.575,103.9,63.846,78.583,15.46,1.2,88.0,395619.80315850675,3493853.91579276,16.78,221,45
31.507,103.832,57.318,71.129,15.46,0.0,156.9,389086.42498064385,3486383.3418759233,16.78,221,45
31.439,103.763,50.686,63.68,15.46,2.8,163.6,382448.7399057927,3478917.755744317,16.78,221,45
31.371,103.694,44.045,56.235,15.46,0.0,140.7,375801.66657006287,3471456.1877740254,16.78,221,45
31.303,103.625,37.394,48.783,15.46,0.0,161.0,369145.22715467354,3463998.621871804,16.78,221,45
31.235,103.556,30.734,41.346,15.46,0.4,161.0,362479.4437732587,3456545.0418285085,16.78,221,45
31.167,103.488,24.16,33.911,15.46,3.2,111.0,355899.65329459996,3449094.128829709,16.78,221,45
31.099,103.419,17.481,26.482,15.46,4.0,105.6,349215.31759604975,3441648.4136472535,16.78,221,45
31.032,103.35,10.794,19.057,15.46,2.4,93.5,342523.3498684657,3434317.4825060815,16.78,221,45
30.964,103.281,4.097,11.635,15.46,0.0,111.0,335820.5453487422,3426879.624821581,16.78,221,45
30.896,103.213,-2.514,4.205,15.46,0.0,113.7,329204.0977590841,3419444.138638362,16.78,221,45
31.795,104.084,81.497,102.846,18.29,0.0,101.5,413285.29784071294,3518078.5914414106,19.61,221,45
31.727,104.015,74.902,95.382,18.29,0.8,139.4,406684.8015662136,3510598.189276285,19.61,221,45
31.659,103.947,68.393,87.91,18.29,0.0,144.8,400169.63534200285,3503120.951285178,19.61,221,45
31.591,103.878,61.779,80.454,18.29,0.0,112.3,393550.2705963452,3495648.633228929,19.61,221,45
31.524,103.809,55.156,73.002,18.29,0.0,158.2,386922.67501414067,3488291.2083013565,19.61,221,45
31.456,103.74,48.523,65.555,18.29,0.0,138.0,380284.52848891943,3480826.970640116,19.61,221,45
31.388,103.672,41.976,58.11,18.29,0.0,98.8,373732.07962605706,3473365.6007283423,19.61,221,45
31.32,103.603,35.325,50.659,18.29,0.0,94.8,367075.24210733315,3465909.32133868,19.61,221,45
31.252,103.534,28.664,43.223,18.29,3.6,84.0,360409.05732601497,3458457.026083115,19.61,221,45
31.184,103.465,21.995,35.791,18.29,4.0,109.7,353733.5473089976,3451008.698638688,19.61,221,45
31.116,103.396,15.316,28.363,18.29,0.0,146.1,347048.7340155952,3443564.3225671756,19.61,221,45
31.048,103.328,8.723,20.938,18.29,0.0,105.6,340450.07671661914,3436122.444069754,19.61,221,45
30.98,103.259,2.026,13.518,18.29,0.0,97.5,333746.79197055905,3428685.8635032214,19.61,221,45
30.912,103.19,-4.681,6.09,18.29,0.0,97.5,327034.2693685977,3421253.184457448,19.61,221,45
