,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
360,31.461,103.972,70.555,65.891,10.88,0.0,95.0,402333.7749818915,3481151.4589772406,12.81,223.0,34.0,0.0,0.0,pengguan,33.839952972201324,38.36134805073651,55.36799804268611,0.8839575852809375,13.827116192844517,-9.342103452128274,1236.6100880432396,546.0149917032795,10.959,64.30163715686503,-3.23914718678051,0.9269757187542469,-35.21180457829754
361,31.395,103.9,63.647,58.669,10.88,0.0,90.0,395419.7232498816,3473902.2042740774,12.81,223.0,34.0,-0.0,0.0,pengguan,33.84776191704016,39.094492322488286,57.661557082553735,0.9253277911274281,13.059272020199364,-10.558496180246706,1228.4593270514833,537.4690703327037,10.959,66.2215356686257,-4.061133869063708,-0.44538141564016576,-35.647438209696844
362,31.329,103.828,56.73,51.452,10.88,0.0,90.0,388496.1511872477,3466657.343311983,12.81,223.0,34.0,-0.0,0.0,pengguan,34.19485631153296,39.58836904857792,57.6359620609923,0.7936440598384397,10.753455942139237,-12.711880609222835,1220.297342837442,528.9283286071034,10.959,66.1729986334671,-3.8773843281655243,-3.1008109224304667,-34.73900939551056
363,31.263,103.756,49.802,44.228,10.88,0.1,90.0,381563.0799524103,3459416.8592617004,12.81,223.0,34.0,-6.1232339957367656e-18,0.1,pengguan,35.16057896050013,40.10072855597864,52.750111014673564,1.1962101512611167,8.95333791176638,-13.584608220000366,1212.1241603441204,520.3927466869891,10.959,62.25660274130391,-1.7187837703579554,-4.5056007006109935,-32.53165355398265
364,31.613000000000003,104.09,81.89699999999998,82.62799999999999,13.11,0.0,100.0,413684.9219646058,3497900.2873275294,15.04,223.0,34.0,0.0,0.0,pengguan,33.121122813263604,36.894121455473304,49.79051174434261,1.5659586840729491,12.849734872689,-5.053177059434397,1249.9916029095602,565.7596656031192,13.189,56.54703609946266,-2.827000339899053,3.2101649661834095,-29.650711866363185
365,31.547,104.018,75.008,75.398,13.11,0.0,100.0,406789.63642613456,3490643.792769692,15.04,223.0,34.0,0.0,0.0,pengguan,33.9589662147305,37.706466640634794,55.09703206426962,1.4586052698895546,13.903882676265676,-6.2784477487981505,1241.8629648009105,557.2052093925754,13.189,61.97559664242809,-4.2526557676119445,3.0662010430640816,-31.942584872466895
366,31.481,103.946,68.109,68.163,13.11,0.0,95.0,399884.78383375076,3483391.723275076,15.04,223.0,34.0,0.0,0.0,pengguan,34.30354206329563,38.557849246136676,59.96428709105672,1.291222273142471,13.540641955161066,-8.42589461991355,1233.7230483893404,548.6559697517205,13.189,66.66614710514577,-5.713528855722698,1.4108992229107566,-34.114533328645535
367,31.415,103.874,61.2,60.942,13.11,0.0,95.0,392970.38547918,3476144.0622516754,15.04,223.0,34.0,0.0,0.0,pengguan,34.574279453446465,39.335094334751645,61.94180243089869,1.3504978051211685,12.304008314787968,-9.974533193017429,1225.5718787750056,540.1119271207526,13.189,68.30583836195238,-6.366126032207255,-0.3662269109447833,-34.6068516382542
368,31.349,103.802,54.282,53.727,13.11,0.0,95.0,386046.4625758389,3468900.7929910123,15.04,223.0,34.0,0.0,0.0,pengguan,35.34256942007382,39.59717087026914,61.73903823935481,1.3280374431889324,10.371793900724713,-11.904790509351107,1217.409480965744,531.573061802567,13.189,68.25044253185987,-6.0509436117168995,-2.488743761824986,-34.4075012635279
369,31.284,103.731,47.45,46.514,13.11,0.1,95.0,379209.5050824875,3461771.64587017,15.04,223.0,34.0,0.008715574274765823,0.09961946980917456,pengguan,36.60799234132284,40.170558486831226,57.53064563604236,1.6350817906106014,9.143328705504521,-13.16539424305625,1209.3496039791266,523.1687315329464,13.189,65.52137112887078,-3.8190468514650266,-3.742653379090282,-33.96562030882164
