,index,depth,utm_lat,utm_lon,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs
64,64,-28.0,3460055.9599341387,422276.0145259519,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,-24.0,3462742.779469406,419669.4249958711,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,-20.0,3465430.294189565,417064.1862919415,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,-16.0,3468118.5049204943,414460.29957672453,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,-12.0,3470807.412485741,411857.766014468,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,-8.0,3473497.017706525,409256.58677109744,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,-4.0,3476187.321401733,406656.7630142229,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,0.0,3478878.3243879094,404058.29591313616,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,-28.0,3457227.334354476,419426.7885883714,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,-24.0,3459914.8554231394,416820.16909850115,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,-20.0,3462603.072018686,414214.8996624781,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,-16.0,3465291.9849675694,411610.9814442657,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,-12.0,3467981.5950939176,409008.4156095057,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,-8.0,3470671.903219528,406407.20332552685,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,-4.0,3473362.910163865,403807.34576133563,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,0.0,3476054.616744055,401208.84408762294,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,-28.0,3454399.4577704575,416576.07751674094,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,-24.0,3457087.6800790806,413969.42716889107,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,-20.0,3459776.598258233,411364.1261025832,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
