index,pt_index,lon_c1,lat_c1,lon_c2,lat_c2,bottom,top,dip,azimuth,dip_m,strike_m,e_trace,n_trace,depth,easting,northing,lon,lat,utm_lon,utm_lat,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,strike
86,670,96.0055,32.0689,93.976,29.8596,-6.0,-3.0,35.0,47.4286,0.5014,-0.0,94.99075,30.96425,4.5,90.64305611176428,35.69707094735453,103.95639275706124,31.324438196545714,400707.2876534921,3466028.8920893073,s4,30.265381451918092,37.422457503893135,37.60590061694996,0.004945847577735737,8.431280992488912,-6.931618986019437,1234.6926726139438,528.1874669662666,2.6489999999999996,46.62299608172557,2.0692281508920107,-0.8004946972222421,-25.755127574255205,227.4286
87,671,96.0055,32.0689,93.976,29.8596,-9.0,-6.0,35.0,47.4286,0.1813,-0.0,94.99075,30.96425,7.5,87.74459351960716,38.85228491225753,103.92558041939323,31.3528263301658,397806.2208624385,3469203.606807866,s4,33.24019508331346,39.39265622094662,48.99244598156204,-0.4805342185226712,12.588984598136339,-10.175917376675297,1231.272695015928,531.9300396126621,5.649,60.110285264132145,-0.13253483939753608,0.22043280068679996,-35.80896287075753,227.4286
88,672,96.0055,32.0689,93.976,29.8596,-12.0,-9.0,35.0,47.4286,0.0333,-0.0,94.99075,30.96425,10.5,84.84613092745003,42.00749887716057,103.89476808172523,31.381214463785877,394906.9272900152,3472379.184809315,s4,34.00866799905489,39.714853228371275,57.99239762239135,0.6579261483845837,12.871804259211556,-10.53570514839955,1227.8548078103186,535.6736299564625,8.649000000000001,66.37811287948935,-4.490702471724782,0.2638995188460147,-35.328417811822355,227.4286
89,673,96.0055,32.0689,93.976,29.8596,-15.0,-12.0,35.0,47.4286,0.0221,-0.0,94.99075,30.96425,13.5,81.94766833529286,45.16271284206357,103.86395574405724,31.409602597405964,392009.4087890247,3475555.627303828,s4,34.79621913655917,39.9572214668221,63.685389282890135,1.4889743486819702,11.805955626226163,-9.86213893007834,1224.4390131813275,539.4182394243046,11.649,68.943872554226,-7.739759341126739,0.10961940062678964,-33.625787952128235,227.4286
90,674,93.976,29.8596,91.9465,27.6503,-3.0,-0.0,35.0,47.4286,1.0885,-0.0,92.96125,28.75495,1.5,91.51201870392143,30.33255698245151,103.96563033317585,31.276172519182325,401536.04914064286,3460670.9016941073,s4,0.0,0.0,0.0,0.0,0.0,0.0,1235.6696738084336,521.8710983881699,-0.35100000000000003,0.0,0.0,0.0,0.0,227.4286
91,675,93.976,29.8596,91.9465,27.6503,-6.0,-3.0,35.0,47.4286,0.6553,-0.0,92.96125,28.75495,4.5,88.6135561117643,33.487770947354534,103.93481799550786,31.30456065280241,398633.1846849125,3463845.3188686436,s4,29.22643905330652,38.587170257373856,36.4218513639739,-0.0214113273401243,7.6250043821669005,-6.919647521157402,1232.2475769993252,525.6133202691524,2.6489999999999996,45.36766617255114,2.5216979695632222,-1.9086813380722332,-24.05800186314621,227.4286
92,676,93.976,29.8596,91.9465,27.6503,-9.0,-6.0,35.0,47.4286,0.2755,-0.0,92.96125,28.75495,7.5,85.71509351960717,36.64298491225753,103.90400565783985,31.332948786422488,395732.09084420453,3467020.5984406057,s4,32.681479290577784,40.149986756951215,49.742888578314144,-0.6375821553619843,11.510195377400839,-11.403206405692858,1228.827567513311,529.3565588036934,5.649,60.87983717424408,-0.27925231939764217,-1.4789115585912498,-35.02285703744523,227.4286
93,677,93.976,29.8596,91.9465,27.6503,-12.0,-9.0,35.0,47.4286,0.038,-0.0,92.96125,28.75495,10.5,82.81663092745002,39.798198877160566,103.87319332017185,31.36133692004257,392832.76947019296,3470196.7416248717,s4,33.849731411154565,39.827736538681975,58.792930161163646,0.443506607420246,11.960237685710313,-11.596619834611671,1225.4096475332715,533.1008154239752,8.649000000000001,67.13646200433752,-4.715558705135951,-0.9411861672566932,-35.473309296976254,227.4286
94,678,93.976,29.8596,91.9465,27.6503,-15.0,-12.0,35.0,47.4286,0.0,-0.0,92.96125,28.75495,13.5,79.91816833529289,42.95341284206357,103.84238098250385,31.389725053662648,389935.2224171895,3473373.7496322044,s4,34.9524007897644,39.9052669326135,64.0977269021619,1.415457183319332,11.158395280145662,-10.436735014215188,1221.9938192451993,536.8460915573282,11.649,69.2448734479762,-7.883837207562647,-0.5363957106087224,-33.64486044757204,227.4286
95,679,91.9465,27.6503,89.917,25.441,-3.0,-0.0,35.0,47.4286,0.8198999999999999,-0.0,90.93175,26.54565,1.5,89.48251870392143,28.12325698245151,103.94405557162248,31.25629497543901,399461.11601557146,3458487.1583415917,s4,0.0,0.0,0.0,0.0,0.0,0.0,1233.2235995480928,519.296751127896,-0.35100000000000003,0.0,0.0,0.0,0.0,227.4286
