,index,lon_c1,lat_c1,lon_c2,lat_c2,bottom,top,dip,azimuth,dip_m,strike_m,e_trace,n_trace,depth,easting,northing,lon,lat,utm_lon,utm_lat,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,strike
40,352,104.9109,57.4198,102.1172,54.557,-4.0,-0.0,47.0,45.7005,3.8318,-3.3605,103.51405,55.9884,2.0,102.21149606816994,57.323199909413894,104.07937198032025,31.51901309558238,412589.1634095296,3487491.0891197026,s3,-195.33230006692952,315.57777468921415,198.21313478487477,343.47158726036673,-114.97670757920177,-594.1370357179002,1248.6998471586235,553.4885849117468,0.14900000000000002,288.1139554929273,-261.0885369245521,-532.0303003381588,419.7727192647534,225.7005
41,353,104.9109,57.4198,102.1172,54.557,-8.0,-4.0,47.0,45.7005,3.354,-2.6392,103.51405,55.9884,6.0,99.60638820450977,59.99279972824169,104.05167817348145,31.54303205506089,409982.6584742817,3490175.8023782494,s3,208.97812941633478,464.4110034111468,191.27732812207338,-205.9094294848021,-42.72123454274005,-20.63223098863764,1245.6271193899433,556.6535100453707,4.149,365.7978918975009,177.8134914103033,-120.37591633815231,-4.7510029710605295,225.7005
42,354,104.9109,57.4198,102.1172,54.557,-12.0,-8.0,47.0,45.7005,2.8164,-1.9192,103.51405,55.9884,10.0,97.00128034084965,62.66239954706949,104.02398436664268,31.5670510145394,407377.50668209826,3492861.20980576,s3,57.691374190941985,-265.35261844904807,-59.88226463200552,34.4952064825711,-114.9603968327148,126.99626380638183,1242.5559867996235,559.8192535132412,8.149000000000001,-274.7102905236694,-29.149917471313376,121.85485849043404,290.1191279321449,225.7005
43,355,104.9109,57.4198,102.1172,54.557,-16.0,-12.0,47.0,45.7005,2.0758,-1.3493,103.51405,55.9884,14.0,94.39617247718952,65.33199936589729,103.99629055980387,31.591069974017913,404773.70919135073,3495547.312226374,s3,131.94400788123787,15.84432872002574,-306.03731932955907,-68.9858160673423,-54.88290768794021,55.89054179964582,1239.486450753232,562.98581628691,12.149000000000001,-144.83210743056782,228.65780621019923,43.50862382267249,319.6596405703496,225.7005
44,356,104.9109,57.4198,102.1172,54.557,-20.0,-16.0,47.0,45.7005,1.2817,-0.8984999999999999,103.51405,55.9884,18.0,91.79106461352937,68.00159918472508,103.96859675296507,31.615088933496423,402171.26716209576,3498234.1104619117,s3,32.67222715557907,472.787795867918,169.98713948203516,9.202797210943316,66.24143359991167,-250.86550916393145,1236.4185126183247,566.153199335196,16.149,437.45912893660113,23.613898230089614,-248.21442812532098,-13.1403243666376,225.7005
45,357,104.9109,57.4198,102.1172,54.557,-24.0,-20.0,47.0,45.7005,0.6326,-0.5548,103.51405,55.9884,22.0,89.18595674986923,70.6711990035529,103.94090294612629,31.63910789297493,399570.1817560581,3500921.605331853,s3,243.60695326922607,213.74360640560207,432.30972767932997,-121.10321167054505,161.32650895132429,-139.84765774801323,1233.352173764421,569.3214036241584,20.149,600.1933544344082,-56.20668236617935,25.21552852965346,-298.5123275302702,225.7005
46,358,104.9109,57.4198,102.1172,54.557,-28.0,-24.0,47.0,45.7005,0.2142,-0.3167,103.51405,55.9884,26.0,86.58084888620908,73.34079882238068,103.91320913928749,31.66312685245344,396970.454136657,3503609.79765335,s3,-35.135903999877044,274.83205470028213,259.81450230098375,-50.326437725150406,60.04719905694161,-306.1607434989768,1230.287435563041,572.4904301171132,24.149,474.30726211585335,-61.03865769658722,-228.93354915164042,-47.653380694966756,225.7005
47,359,104.9109,57.4198,102.1172,54.557,-32.0,-28.0,47.0,45.7005,0.0253,-0.1601,103.51405,55.9884,30.0,83.97574102254895,76.01039864120848,103.8855153324487,31.68714581193195,394372.0854689764,3506298.6882412173,s3,57.576546708446834,482.5655214692376,-89.81010915664122,-39.92257640158306,-1.896094419223133,-444.8812486264469,1227.2242993876666,575.6602797746186,28.149,443.11308423668436,179.8821786112506,-367.47688488045924,143.27376198765637,225.7005
48,360,102.1172,54.557,99.32360000000001,51.6942,-4.0,-0.0,47.0,45.7005,3.7348,-3.5096,100.7204,53.12560000000001,2.0,99.41784606816992,54.4603999094139,104.04967386126944,31.49325587282932,409744.5522614588,3484660.2084899982,s3,-246.5047413790898,-953.5729115307485,172.59295461274726,792.6203413781698,-318.39961784112586,1642.8693228060838,1245.346423365876,550.15134760094,0.14900000000000002,-2063.88991519911,-687.38119490636,871.4168485352285,2348.225939820347,225.7005
49,361,102.1172,54.557,99.32360000000001,51.6942,-8.0,-4.0,47.0,45.7005,3.3614,-3.0539,100.7204,53.12560000000001,6.0,96.81273820450977,57.1299997282417,104.02198005443064,31.51727483230783,407138.0200134553,3487345.6241273307,s3,-151.29700243890784,164.52509345678087,-59.2678946353999,644.4376028705732,-300.17615330821116,-261.83095299716035,1242.2736633990362,553.3171007471142,4.149,-388.75601593171234,-284.99901113199957,-398.20901452563623,722.9421387239405,225.7005
50,362,102.1172,54.557,99.32360000000001,51.6942,-12.0,-8.0,47.0,45.7005,2.8441,-2.4446,100.7204,53.12560000000001,10.0,94.20763034084965,59.799599547069505,103.99428624759186,31.54129379178634,404532.84013621404,3490031.7342706025,s3,242.8911232382823,563.0747902570173,195.24475429481421,-6.015260975994594,-69.1411696179907,-141.68173284427732,1239.2024977001129,556.4836726247845,8.149000000000001,364.65273339429837,104.86286388995728,-218.17434106945552,23.275010546054546,225.7005
51,363,102.1172,54.557,99.32360000000001,51.6942,-16.0,-12.0,47.0,45.7005,2.12,-1.8352,100.7204,53.12560000000001,14.0,91.60252247718952,62.469199365897296,103.96659244075306,31.565312751264855,401929.0137895009,3492718.5397445317,s3,79.22375284649343,-204.95055071962148,-132.42945309033138,28.24083404410647,-86.73424971193347,96.22840697341539,1236.1329276363194,559.6510642061858,12.149000000000001,-241.31034868143206,27.913464468077525,106.87937866069728,255.2505160301458,225.7005
52,364,102.1172,54.557,99.32360000000001,51.6942,-20.0,-16.0,47.0,45.7005,1.3348,-1.3185,100.7204,53.12560000000001,18.0,88.99741461352937,65.13879918472509,103.93889863391426,31.58933171074336,399326.54213476717,3495406.0413715127,s3,182.67243994030088,275.0321393944742,-202.63265247220372,-68.62058299846177,29.120878233415457,-80.26863193555445,1233.0649545768542,562.819276460813,16.149,143.05282390798124,244.5704713363241,-56.55568085629439,165.1927277475462,225.7005
53,365,102.1172,54.557,99.32360000000001,51.6942,-24.0,-20.0,47.0,45.7005,0.6881,-0.919,100.7204,53.12560000000001,22.0,86.39230674986928,67.80839900355289,103.91120482707548,31.613350670221873,396725.4263351441,3498094.2399716093,s3,117.20446151127145,546.6835933752499,342.22023620283505,93.34239406977079,37.30587977395604,-310.26557503055915,1229.9985798928965,565.9883103554134,20.149,537.1271830884181,-66.3578038813823,-288.2472926909887,-26.489461126396805,225.7005
54,366,102.1172,54.557,99.32360000000001,51.6942,-28.0,-24.0,47.0,45.7005,0.2645,-0.6323,100.7204,53.12560000000001,26.0,83.7871988862091,70.47799882238068,103.88351102023668,31.63736962970038,394125.66755544033,3500783.136362548,s3,172.15708056893087,199.23152020160734,495.62663619960756,-85.51439550156469,102.29743403532623,-139.38114224163036,1226.9338049576031,569.1581668539802,24.149,546.5370620294971,-123.72563276855143,-24.825657046082103,-201.73053601770596,225.7005
55,367,102.1172,54.557,99.32360000000001,51.6942,-32.0,-28.0,47.0,45.7005,0.0655,-0.4329,100.7204,53.12560000000001,30.0,81.18209102254897,73.14759864120845,103.8558172133979,31.66138858917889,391527.266962149,3503472.7313597193,s3,-83.24858826072271,221.9535745116831,125.14671939077425,33.76098943045498,-43.49870651146568,-285.970048285481,1223.8706311461165,572.3288469177514,28.149,253.1106140759582,-54.9602764215109,-269.6191347831219,123.29741882580302,225.7005
56,368,99.32360000000001,51.6942,96.53,48.8314,-4.0,-0.0,47.0,45.7005,3.4477,-3.3392,97.9268,50.2628,2.0,96.62424606816992,51.597599909413894,104.0199762737476,31.467498650076266,406898.4520431661,3481830.080194717,s3,-4.464889273213728,922.8066468229295,703.4120539050787,523.4681758651619,-210.5497439228726,-1208.6649713459178,1241.9912441544607,546.8149971938335,0.14900000000000002,1015.1692316041374,-427.271988139928,-1026.8149776484324,503.063174635372,225.7005
57,369,99.32360000000001,51.6942,96.53,48.8314,-8.0,-4.0,47.0,45.7005,3.1668,-3.0654,97.9268,50.2628,6.0,94.01913820450977,54.26719972824169,103.99228246690882,31.49151760955477,404291.8915889384,3484516.1979154404,s3,146.99892143623092,-551.2982043576056,-84.11577049248366,-208.03453062693643,-79.95606683099831,1141.902982313171,1238.9184509361785,549.9815780043268,4.149,-911.5494930044472,101.50623754250122,763.8718742120573,1317.5163271896108,225.7005
58,370,99.32360000000001,51.6942,96.53,48.8314,-12.0,-8.0,47.0,45.7005,2.6648,-2.6246,97.9268,50.2628,10.0,91.41403034084965,56.93679954706949,103.96458866007002,31.51553656903328,401686.6827331624,3487203.010480741,s3,250.88281857335588,183.25091672284194,-37.69117212756543,380.86454345882254,-164.50457532304895,-18.061887259798016,1235.8472510753604,553.1489779455255,8.149000000000001,-207.24035906268713,-56.142563716460785,-70.98503734724758,214.84760204743475,225.7005
59,371,99.32360000000001,51.6942,96.53,48.8314,-16.0,-12.0,47.0,45.7005,1.9857,-2.1106,97.9268,50.2628,14.0,88.80892247718953,59.606399365897296,103.93689485323124,31.53955552851179,399082.8266370065,3489890.518715913,s3,293.68248502869267,547.520762742577,122.4039965823111,190.97366674350627,-60.18500845272844,-9.945836733391273,1232.777645940872,556.3171979903436,12.149000000000001,146.61561176129575,57.4932266798781,-130.32386475435325,54.47283469036911,225.7005
60,372,99.32360000000001,51.6942,96.53,48.8314,-20.0,-16.0,47.0,45.7005,1.2663,-1.6231,97.9268,50.2628,18.0,86.20381461352937,62.27599918472507,103.90920104639244,31.563574487990298,396480.32446331595,3492578.7234439296,s3,30.890673375359647,-152.99626114860794,-90.04301718778926,6.1642558890536225,-94.7513178985229,12.977397117238851,1229.7096369035557,559.4862391089591,16.149,-154.3145763392141,15.5288863494536,27.04554967442661,123.77541071733616,225.7005
61,373,99.32360000000001,51.6942,96.53,48.8314,-24.0,-20.0,47.0,45.7005,0.6703,-1.2297,97.9268,50.2628,22.0,83.59870674986925,64.9455990035529,103.88150723955366,31.58759344746881,393879.17737662187,3495267.625485432,s3,172.22552922250426,455.13676042029397,-7.604529361319569,-51.79579975903859,74.90985524452849,-204.13932886010284,1226.643225336241,562.6561022687997,20.149,391.7269033324408,173.9625867666034,-163.16746093413846,3.472981310780426,225.7005
